onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.013	0.75	95	4.0038	2	2	3	234	0	0	1
9.7811	0.75	96	7.7752	2	2	5	205	0	0	1
12.789	0.75	97	10.785	2	2	6	245	0	0	1
16.551	0.75	98	14.543	2	2	2	307	0	0	1
20.308	0.75	99	18.302	2	2	6	243	0	0	1
23.817	0.75	100	21.809	2	2	4	164	0	0	1
27.324	0.75	101	25.318	2	2	5	209	0	0	1
31.088	0.75	102	29.08	2	2	2	308	0	0	1
35.094	0.75	103	33.089	2	2	4	184	1	0.56631	1
38.382	0.75	104	36.375	2	2	2	304	0	0	1
41.385	0.75	105	39.379	2	2	6	241	1	0.63492	1
44.435	0.75	106	42.427	2	2	2	305	1	0.83145	1
47.691	0.75	107	45.683	2	2	5	207	0	0	1
50.694	0.75	108	48.689	2	2	3	236	0	0	1
53.954	0.75	109	51.949	2	2	4	162	0	0	1
57.715	0.75	110	55.709	2	2	3	226	0	0	1
61.722	0.75	111	59.717	2	2	5	191	0	0	1
64.732	0.75	112	62.727	2	2	4	177	0	0	1
68.747	0.75	113	66.739	2	2	1	119	0	0	1
72.504	0.75	114	70.498	2	2	6	244	0	0	1
75.511	0.75	115	73.504	2	2	1	114	0	0	1
79.532	0.75	116	77.524	2	2	2	301	1	0	0
82.536	0.75	117	80.53	2	2	3	233	0	0	1
85.546	0.75	118	83.54	2	2	1	107	0	0	1
89.558	0.75	119	87.551	2	2	2	304	0	0	1
93.061	0.75	120	91.057	2	2	5	209	0	0	1
96.824	0.75	121	94.817	2	2	2	305	0	0	1
100.33	0.75	122	98.325	2	2	1	116	0	0	1
104.09	0.75	123	102.08	2	2	3	233	0	0	1
107.1	0.75	124	105.09	2	2	5	205	1	0.62387	1
110.38	0.75	125	108.38	2	2	1	114	0	0	1
113.4	0.75	126	111.4	2	2	4	184	0	0	1
116.66	0.75	127	114.66	2	2	5	207	0	0	1
119.67	0.75	128	117.66	2	2	6	244	0	0	1
122.93	0.75	129	120.92	2	2	1	116	0	0	1
126.68	0.75	130	124.67	2	2	6	243	0	0	1
129.93	0.75	131	127.93	2	2	3	236	0	0	1
133.7	0.75	132	131.69	2	2	1	111	0	0	1
137.7	0.75	133	135.7	2	2	3	234	1	0.67651	1
140.74	0.75	134	138.73	2	2	4	168	0	0	1
143.75	0.75	135	141.74	2	2	2	302	0	0	1
147.52	0.75	136	145.51	2	2	4	162	0	0	1
151.28	0.75	137	149.27	2	2	6	242	0	0	1
155.29	0.75	138	153.28	2	2	5	193	0	0	1
159.3	0.75	139	157.29	2	2	3	228	1	0.6355	1
162.83	0.75	140	160.82	2	2	4	177	0	0	1
166.83	0.75	141	164.83	2	2	6	245	0	0	1
170.85	0.75	142	168.84	2	2	1	112	0	0	1
207.15	0.75	143	205.14	2	2	6	243	0	0	1
210.15	0.75	144	208.14	2	2	2	308	1	0.69178	1
213.94	0.75	145	211.93	2	2	1	107	0	0	1
217.96	0.75	146	215.95	2	2	2	307	0	0	1
221.72	0.75	147	219.71	2	2	5	205	0	0	1
225.48	0.75	148	223.47	2	2	3	226	0	0	1
228.73	0.75	149	226.73	2	2	4	168	1	0.61542	1
232.52	0.75	150	230.51	2	2	1	111	0	0	1
236.53	0.75	151	234.52	2	2	3	233	0	0	1
239.54	0.75	152	237.53	2	2	2	301	0	0	1
243.29	0.75	153	241.29	2	2	6	242	0	0	1
246.55	0.75	154	244.54	2	2	5	191	0	0	1
249.56	0.75	155	247.55	2	2	4	177	0	0	1
253.33	0.75	156	251.33	2	2	5	207	0	0	1
256.34	0.75	157	254.33	2	2	1	119	0	0	1
259.6	0.75	158	257.59	2	2	4	164	0	0	1
263.11	0.75	159	261.1	2	2	2	307	1	0.61898	1
266.89	0.75	160	264.89	2	2	3	228	0	0	1
270.15	0.75	161	268.14	2	2	6	244	0	0	1
273.91	0.75	162	271.9	2	2	3	234	0	0	1
277.92	0.75	163	275.91	2	2	4	184	0	0	1
281.18	0.75	164	279.17	2	2	1	112	0	0	1
285.19	0.75	165	283.18	2	2	5	193	0	0	1
288.46	0.75	166	286.45	2	2	6	241	1	0.5668	1
292.25	0.75	167	290.24	2	2	2	302	0	0	1
296.26	0.75	168	294.25	2	2	5	209	0	0	1
299.52	0.75	169	297.51	2	2	3	233	0	0	1
303.27	0.75	170	301.27	2	2	1	114	1	0.70737	1
306.31	0.75	171	304.3	2	2	2	304	0	0	1
310.32	0.75	172	308.32	2	2	5	191	0	0	1
314.08	0.75	173	312.08	2	2	6	243	0	0	1
317.84	0.75	174	315.83	2	2	3	226	0	0	1
321.09	0.75	175	319.09	2	2	5	205	0	0	1
324.87	0.75	176	322.86	2	2	4	164	0	0	1
328.88	0.75	177	326.87	2	2	2	308	0	0	1
332.39	0.75	178	330.38	2	2	6	242	0	0	1
336.15	0.75	179	334.14	2	2	3	236	0	0	1
340.16	0.75	180	338.15	2	2	2	305	1	0.90975	1
343.42	0.75	181	341.41	2	2	3	228	0	0	1
346.42	0.75	182	344.42	2	2	4	168	0	0	1
349.68	0.75	183	347.67	2	2	1	119	1	0.55557	1
352.96	0.75	184	350.96	2	2	6	245	1	0.73372	1
356.22	0.75	185	354.21	2	2	4	162	0	0	1
359.24	0.75	186	357.23	2	2	5	193	0	0	1
362.75	0.75	187	360.74	2	2	6	241	0	0	1
366.51	0.75	188	364.5	2	2	1	116	0	0	1
