onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0121	0.75	283	4.0034	2	4	2	302	0	0	1
10.014	0.75	284	8.0094	2	4	3	236	0	0	1
13.772	0.75	285	11.767	2	4	4	184	1	0.49356	1
17.573	0.75	286	15.567	2	4	6	244	0	0	1
21.335	0.75	287	19.33	2	4	5	209	0	0	1
24.343	0.75	288	22.339	2	4	4	177	0	0	1
27.355	0.75	289	25.347	2	4	2	307	0	0	1
30.612	0.75	290	28.605	2	4	1	114	0	0	1
34.369	0.75	291	32.364	2	4	4	162	1	0.44168	1
37.9	0.75	292	35.895	2	4	5	205	0	0	1
41.915	0.75	293	39.908	2	4	1	111	0	0	1
45.922	0.75	294	43.917	2	4	6	242	0	0	1
49.433	0.75	295	47.426	2	4	3	233	0	0	1
53.456	0.75	296	51.449	2	4	1	112	0	0	1
56.711	0.75	297	54.707	2	4	5	193	1	0.80692	1
59.973	0.75	298	57.96	2	4	1	107	0	0	1
62.975	0.75	299	60.968	2	4	2	308	0	0	1
66.481	0.75	300	64.476	2	4	6	243	0	0	1
70.245	0.75	301	68.238	2	4	2	301	0	0	1
73.502	0.75	302	71.497	2	4	3	234	0	0	1
76.511	0.75	303	74.506	2	4	6	245	0	0	1
79.77	0.75	304	77.764	2	4	4	164	0	0	1
83.529	0.75	305	81.524	2	4	5	207	0	0	1
87.055	0.75	306	85.05	2	4	3	228	0	0	1
90.066	0.75	307	88.059	2	4	1	111	1	0.46245	1
93.35	0.75	308	91.343	2	4	2	305	0	0	1
97.106	0.75	309	95.102	2	4	5	207	0	0	1
100.87	0.75	310	98.862	2	4	6	243	0	0	1
104.12	0.75	311	102.12	2	4	5	193	0	0	1
107.89	0.75	312	105.88	2	4	2	304	0	0	1
111.64	0.75	313	109.64	2	4	1	116	0	0	1
114.65	0.75	314	112.64	2	4	2	307	0	0	1
118.41	0.75	315	116.4	2	4	3	233	0	0	1
121.67	0.75	316	119.67	2	4	5	191	0	0	1
124.68	0.75	317	122.67	2	4	3	234	0	0	1
127.69	0.75	318	125.68	2	4	6	244	1	0.42075	1
131.48	0.75	319	129.47	2	4	1	107	0	0	1
135.23	0.75	320	133.22	2	4	2	308	0	0	1
139.24	0.75	321	137.23	2	4	4	184	0	0	1
143	0.75	322	140.99	2	4	3	226	0	0	1
146.76	0.75	323	144.76	2	4	1	119	0	0	1
149.77	0.75	324	147.76	2	4	4	177	0	0	1
153.53	0.75	325	151.52	2	4	5	205	0	0	1
156.55	0.75	326	154.55	2	4	4	162	0	0	1
160.57	0.75	327	158.56	2	4	3	228	0	0	1
163.58	0.75	328	161.57	2	4	4	168	1	0.43089	1
166.61	0.75	329	164.61	2	4	6	242	0	0	1
169.62	0.75	330	167.61	2	4	2	302	1	0.5272	1
206.93	0.75	331	204.92	2	4	6	241	0	0	1
210.19	0.75	332	208.19	2	4	3	233	0	0	1
214.2	0.75	333	212.19	2	4	1	116	0	0	1
217.21	0.75	334	215.2	2	4	4	164	0	0	1
220.22	0.75	335	218.21	2	4	2	301	1	0	0
223.49	0.75	336	221.48	2	4	5	209	0	0	1
227	0.75	337	224.99	2	4	6	243	1	0.5715	1
231.03	0.75	338	229.02	2	4	4	184	0	0	1
234.54	0.75	339	232.54	2	4	5	193	0	0	1
238.3	0.75	340	236.3	2	4	1	114	0	0	1
241.31	0.75	341	239.3	2	4	2	304	0	0	1
245.07	0.75	342	243.06	2	4	6	245	0	0	1
248.32	0.75	343	246.32	2	4	5	191	0	0	1
252.34	0.75	344	250.33	2	4	3	228	0	0	1
255.85	0.75	345	253.84	2	4	1	119	0	0	1
259.62	0.75	346	257.61	2	4	6	241	0	0	1
263.63	0.75	347	261.62	2	4	3	236	1	0.69234	1
266.91	0.75	348	264.91	2	4	5	205	0	0	1
270.92	0.75	349	268.92	2	4	6	245	0	0	1
274.68	0.75	350	272.68	2	4	2	305	0	0	1
278.19	0.75	351	276.18	2	4	4	168	0	0	1
281.45	0.75	352	279.44	2	4	3	226	1	0.36337	1
285.24	0.75	353	283.23	2	4	1	112	0	0	1
288.49	0.75	354	286.49	2	4	4	177	0	0	1
291.5	0.75	355	289.49	2	4	3	236	0	0	1
294.77	0.75	356	292.76	2	4	6	242	1	0.54117	1
298.06	0.75	357	296.05	2	4	2	307	0	0	1
301.82	0.75	358	299.81	2	4	4	164	0	0	1
304.82	0.75	359	302.82	2	4	3	226	0	0	1
308.59	0.75	360	306.58	2	4	5	193	0	0	1
312.35	0.75	361	310.34	2	4	4	168	0	0	1
315.86	0.75	362	313.85	2	4	1	112	1	0.86027	1
318.87	0.75	363	316.86	2	4	2	308	0	0	1
322.12	0.75	364	320.11	2	4	5	207	0	0	1
326.13	0.75	365	324.12	2	4	6	244	0	0	1
329.15	0.75	366	327.14	2	4	5	209	0	0	1
332.9	0.75	367	330.9	2	4	3	234	0	0	1
336.16	0.75	368	334.16	2	4	4	162	1	0.5151	1
340.2	0.75	369	338.19	2	4	1	107	0	0	1
344.2	0.75	370	342.2	2	4	2	302	0	0	1
347.96	0.75	371	345.96	2	4	6	242	0	0	1
351.97	0.75	372	349.97	2	4	3	228	0	0	1
355.24	0.75	373	353.23	2	4	2	301	0	0	1
358.74	0.75	374	356.74	2	4	5	191	1	0.42808	1
362.53	0.75	375	360.52	2	4	1	111	0	0	1
366.3	0.75	376	364.29	2	4	6	241	0	0	1
