onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0135	0.75	95	4.0036	2	2	3	234	0	0	1
9.7793	0.75	96	7.7732	2	2	5	205	0	0	1
12.786	0.75	97	10.78	2	2	6	245	0	0	1
16.546	0.75	98	14.538	2	2	2	307	0	0	1
20.3	0.75	99	18.295	2	2	6	243	0	0	1
23.811	0.75	100	21.804	2	2	4	164	0	0	1
27.315	0.75	101	25.31	2	2	5	209	0	0	1
31.077	0.75	102	29.07	2	2	2	308	0	0	1
35.086	0.75	103	33.081	2	2	4	184	1	0.36318	1
38.374	0.75	104	36.367	2	2	2	304	0	0	1
41.376	0.75	105	39.371	2	2	6	241	1	0.36732	1
44.426	0.75	106	42.418	2	2	2	305	1	0.51864	1
47.71	0.75	107	45.706	2	2	5	207	0	0	1
50.716	0.75	108	48.711	2	2	3	236	0	0	1
53.974	0.75	109	51.969	2	2	4	162	0	0	1
57.73	0.75	110	55.725	2	2	3	226	0	0	1
61.74	0.75	111	59.735	2	2	5	191	0	0	1
64.745	0.75	112	62.741	2	2	4	177	0	0	1
68.756	0.75	113	66.748	2	2	1	119	0	0	1
72.514	0.75	114	70.509	2	2	6	244	0	0	1
75.52	0.75	115	73.513	2	2	1	114	0	0	1
79.54	0.75	116	77.533	2	2	2	301	1	0.64524	1
82.578	0.75	117	80.571	2	2	3	233	0	0	1
85.583	0.75	118	83.576	2	2	1	107	0	0	1
89.594	0.75	119	87.586	2	2	2	304	0	0	1
93.097	0.75	120	91.093	2	2	5	209	0	0	1
96.857	0.75	121	94.85	2	2	2	305	0	0	1
100.36	0.75	122	98.355	2	2	1	116	0	0	1
104.12	0.75	123	102.11	2	2	3	233	0	0	1
107.12	0.75	124	105.12	2	2	5	205	1	0.38921	1
110.41	0.75	125	108.4	2	2	1	114	0	0	1
113.43	0.75	126	111.42	2	2	4	184	0	0	1
116.68	0.75	127	114.68	2	2	5	207	0	0	1
119.69	0.75	128	117.69	2	2	6	244	0	0	1
122.95	0.75	129	120.94	2	2	1	116	0	0	1
126.71	0.75	130	124.7	2	2	6	243	0	0	1
129.97	0.75	131	127.96	2	2	3	236	0	0	1
133.73	0.75	132	131.72	2	2	1	111	0	0	1
137.73	0.75	133	135.73	2	2	3	234	1	0.44637	1
140.77	0.75	134	138.76	2	2	4	168	0	0	1
143.77	0.75	135	141.77	2	2	2	302	0	0	1
147.54	0.75	136	145.54	2	2	4	162	0	0	1
151.3	0.75	137	149.29	2	2	6	242	0	0	1
155.31	0.75	138	153.3	2	2	5	193	0	0	1
159.32	0.75	139	157.31	2	2	3	228	1	0.50391	1
162.85	0.75	140	160.85	2	2	4	177	0	0	1
166.86	0.75	141	164.86	2	2	6	245	0	0	1
170.87	0.75	142	168.87	2	2	1	112	0	0	1
206.64	0.75	143	204.63	2	2	6	243	0	0	1
209.64	0.75	144	207.64	2	2	2	308	1	0.52442	1
213.43	0.75	145	211.43	2	2	1	107	0	0	1
217.46	0.75	146	215.45	2	2	2	307	0	0	1
221.21	0.75	147	219.2	2	2	5	205	0	0	1
224.97	0.75	148	222.96	2	2	3	226	0	0	1
228.23	0.75	149	226.22	2	2	4	168	1	0.38909	1
232.01	0.75	150	230	2	2	1	111	0	0	1
236.02	0.75	151	234.01	2	2	3	233	0	0	1
239.03	0.75	152	237.02	2	2	2	301	0	0	1
242.78	0.75	153	240.77	2	2	6	242	0	0	1
246.04	0.75	154	244.03	2	2	5	191	0	0	1
249.04	0.75	155	247.04	2	2	4	177	0	0	1
252.82	0.75	156	250.81	2	2	5	207	0	0	1
255.83	0.75	157	253.82	2	2	1	119	0	0	1
259.08	0.75	158	257.07	2	2	4	164	0	0	1
262.59	0.75	159	260.59	2	2	2	307	1	0.5964	1
266.38	0.75	160	264.37	2	2	3	228	0	0	1
269.64	0.75	161	267.63	2	2	6	244	0	0	1
273.4	0.75	162	271.39	2	2	3	234	0	0	1
277.41	0.75	163	275.41	2	2	4	184	0	0	1
280.67	0.75	164	278.66	2	2	1	112	0	0	1
284.68	0.75	165	282.67	2	2	5	193	0	0	1
287.95	0.75	166	285.95	2	2	6	241	1	0.54067	1
291.74	0.75	167	289.73	2	2	2	302	0	0	1
295.75	0.75	168	293.74	2	2	5	209	0	0	1
299.01	0.75	169	297	2	2	3	233	0	0	1
302.76	0.75	170	300.76	2	2	1	114	1	0.3504	1
305.8	0.75	171	303.79	2	2	2	304	0	0	1
309.8	0.75	172	307.8	2	2	5	191	0	0	1
313.57	0.75	173	311.56	2	2	6	243	0	0	1
317.32	0.75	174	315.32	2	2	3	226	0	0	1
320.58	0.75	175	318.57	2	2	5	205	0	0	1
324.36	0.75	176	322.35	2	2	4	164	0	0	1
328.37	0.75	177	326.36	2	2	2	308	0	0	1
331.87	0.75	178	329.87	2	2	6	242	0	0	1
335.63	0.75	179	333.62	2	2	3	236	0	0	1
339.65	0.75	180	337.64	2	2	2	305	1	0.46263	1
342.93	0.75	181	340.92	2	2	3	228	0	0	1
345.94	0.75	182	343.93	2	2	4	168	0	0	1
349.2	0.75	183	347.19	2	2	1	119	1	0.42432	1
352.49	0.75	184	350.48	2	2	6	245	1	0.47299	1
355.77	0.75	185	353.77	2	2	4	162	0	0	1
358.8	0.75	186	356.79	2	2	5	193	0	0	1
362.3	0.75	187	360.3	2	2	6	241	0	0	1
366.07	0.75	188	364.06	2	2	1	116	0	0	1
