onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0133	0.75	283	4.0037	2	4	2	302	0	0	1
10.018	0.75	284	8.0124	2	4	3	236	0	0	1
13.78	0.75	285	11.774	2	4	4	184	1	0.58502	1
17.581	0.75	286	15.576	2	4	6	244	0	0	1
21.341	0.75	287	19.336	2	4	5	209	0	0	1
24.35	0.75	288	22.345	2	4	4	177	0	0	1
27.359	0.75	289	25.352	2	4	2	307	0	0	1
30.618	0.75	290	28.612	2	4	1	114	0	0	1
34.372	0.75	291	32.367	2	4	4	162	1	0.57925	1
37.904	0.75	292	35.9	2	4	5	205	0	0	1
41.916	0.75	293	39.909	2	4	1	111	0	0	1
45.918	0.75	294	43.914	2	4	6	242	0	0	1
49.432	0.75	295	47.424	2	4	3	233	0	0	1
53.454	0.75	296	51.446	2	4	1	112	0	0	1
56.711	0.75	297	54.706	2	4	5	193	1	0.6194	1
59.995	0.75	298	57.988	2	4	1	107	0	0	1
63.003	0.75	299	60.996	2	4	2	308	0	0	1
66.513	0.75	300	64.506	2	4	6	243	0	0	1
70.274	0.75	301	68.267	2	4	2	301	0	0	1
73.531	0.75	302	71.526	2	4	3	234	0	0	1
76.536	0.75	303	74.531	2	4	6	245	0	0	1
79.794	0.75	304	77.788	2	4	4	164	0	0	1
83.547	0.75	305	81.542	2	4	5	207	0	0	1
87.071	0.75	306	85.065	2	4	3	228	0	0	1
90.078	0.75	307	88.071	2	4	1	111	1	0.50483	1
93.365	0.75	308	91.357	2	4	2	305	0	0	1
97.121	0.75	309	95.116	2	4	5	207	0	0	1
100.88	0.75	310	98.879	2	4	6	243	0	0	1
104.14	0.75	311	102.14	2	4	5	193	0	0	1
107.9	0.75	312	105.9	2	4	2	304	0	0	1
111.66	0.75	313	109.65	2	4	1	116	0	0	1
114.67	0.75	314	112.66	2	4	2	307	0	0	1
118.43	0.75	315	116.42	2	4	3	233	0	0	1
121.7	0.75	316	119.7	2	4	5	191	0	0	1
124.71	0.75	317	122.7	2	4	3	234	0	0	1
127.72	0.75	318	125.71	2	4	6	244	1	0.69961	1
131.5	0.75	319	129.5	2	4	1	107	0	0	1
135.27	0.75	320	133.26	2	4	2	308	0	0	1
139.27	0.75	321	137.26	2	4	4	184	0	0	1
143.03	0.75	322	141.02	2	4	3	226	0	0	1
146.79	0.75	323	144.78	2	4	1	119	0	0	1
149.79	0.75	324	147.79	2	4	4	177	0	0	1
153.55	0.75	325	151.54	2	4	5	205	0	0	1
156.57	0.75	326	154.56	2	4	4	162	0	0	1
160.57	0.75	327	158.57	2	4	3	228	0	0	1
163.58	0.75	328	161.58	2	4	4	168	1	0.53814	1
166.62	0.75	329	164.61	2	4	6	242	0	0	1
169.62	0.75	330	167.62	2	4	2	302	1	0.62241	1
206.53	0.75	331	204.52	2	4	6	241	0	0	1
209.79	0.75	332	207.78	2	4	3	233	0	0	1
213.8	0.75	333	211.79	2	4	1	116	0	0	1
216.8	0.75	334	214.79	2	4	4	164	0	0	1
219.81	0.75	335	217.8	2	4	2	301	1	1.0151	1
223.1	0.75	336	221.09	2	4	5	209	0	0	1
226.6	0.75	337	224.6	2	4	6	243	1	0.51509	1
230.64	0.75	338	228.63	2	4	4	184	0	0	1
234.15	0.75	339	232.14	2	4	5	193	0	0	1
237.92	0.75	340	235.91	2	4	1	114	0	0	1
240.92	0.75	341	238.91	2	4	2	304	0	0	1
244.68	0.75	342	242.67	2	4	6	245	0	0	1
247.94	0.75	343	245.93	2	4	5	191	0	0	1
251.95	0.75	344	249.94	2	4	3	228	0	0	1
255.46	0.75	345	253.45	2	4	1	119	0	0	1
259.23	0.75	346	257.22	2	4	6	241	0	0	1
263.24	0.75	347	261.23	2	4	3	236	1	0.59901	1
266.52	0.75	348	264.51	2	4	5	205	0	0	1
270.53	0.75	349	268.52	2	4	6	245	0	0	1
274.28	0.75	350	272.28	2	4	2	305	0	0	1
277.79	0.75	351	275.79	2	4	4	168	0	0	1
281.05	0.75	352	279.04	2	4	3	226	1	0.53212	1
284.84	0.75	353	282.83	2	4	1	112	0	0	1
288.09	0.75	354	286.09	2	4	4	177	0	0	1
291.1	0.75	355	289.1	2	4	3	236	0	0	1
294.37	0.75	356	292.37	2	4	6	242	1	0.45254	1
297.66	0.75	357	295.65	2	4	2	307	0	0	1
301.42	0.75	358	299.41	2	4	4	164	0	0	1
304.42	0.75	359	302.42	2	4	3	226	0	0	1
308.19	0.75	360	306.18	2	4	5	193	0	0	1
311.94	0.75	361	309.93	2	4	4	168	0	0	1
315.45	0.75	362	313.44	2	4	1	112	1	0.42827	1
318.49	0.75	363	316.48	2	4	2	308	0	0	1
321.74	0.75	364	319.74	2	4	5	207	0	0	1
325.75	0.75	365	323.75	2	4	6	244	0	0	1
328.78	0.75	366	326.77	2	4	5	209	0	0	1
332.53	0.75	367	330.53	2	4	3	234	0	0	1
335.79	0.75	368	333.79	2	4	4	162	1	0.49116	1
339.83	0.75	369	337.82	2	4	1	107	0	0	1
343.84	0.75	370	341.83	2	4	2	302	0	0	1
347.59	0.75	371	345.59	2	4	6	242	0	0	1
351.6	0.75	372	349.59	2	4	3	228	0	0	1
354.85	0.75	373	352.85	2	4	2	301	0	0	1
358.36	0.75	374	356.36	2	4	5	191	1	0.50496	1
362.15	0.75	375	360.14	2	4	1	111	0	0	1
365.92	0.75	376	363.92	2	4	6	241	0	0	1
