onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0128	0.75	189	4.0036	2	3	4	162	0	0	1
9.2648	0.75	190	7.2596	2	3	6	242	0	0	1
13.269	0.75	191	11.264	2	3	2	302	0	0	1
17.274	0.75	192	15.269	2	3	6	244	0	0	1
20.282	0.75	193	18.278	2	3	4	177	0	0	1
23.291	0.75	194	21.286	2	3	6	241	0	0	1
26.302	0.75	195	24.295	2	3	3	233	0	0	1
29.323	0.75	196	27.315	2	3	1	112	1	0.54812	1
33.108	0.75	197	31.103	2	3	3	234	0	0	1
36.118	0.75	198	34.113	2	3	6	243	0	0	1
39.376	0.75	199	37.368	2	3	1	119	0	0	1
43.134	0.75	200	41.129	2	3	5	207	0	0	1
46.39	0.75	201	44.386	2	3	4	168	0	0	1
50.144	0.75	202	48.139	2	3	5	193	0	0	1
53.902	0.75	203	51.898	2	3	3	228	0	0	1
56.915	0.75	204	54.908	2	3	1	116	1	0.46481	1
59.945	0.75	205	57.941	2	3	5	209	0	0	1
63.47	0.75	206	61.462	2	3	2	304	1	0.64666	1
66.758	0.75	207	64.753	2	3	6	243	0	0	1
69.764	0.75	208	67.759	2	3	5	205	1	0.45879	1
72.804	0.75	209	70.797	2	3	2	307	0	0	1
76.561	0.75	210	74.556	2	3	3	226	0	0	1
80.324	0.75	211	78.319	2	3	4	184	0	0	1
84.33	0.75	212	82.322	2	3	1	114	0	0	1
88.334	0.75	213	86.33	2	3	3	228	0	0	1
91.344	0.75	214	89.339	2	3	6	245	0	0	1
95.108	0.75	215	93.101	2	3	2	305	0	0	1
98.881	0.75	216	96.876	2	3	3	226	0	0	1
102.39	0.75	217	100.38	2	3	6	242	0	0	1
106.15	0.75	218	104.14	2	3	2	308	0	0	1
109.15	0.75	219	107.15	2	3	3	236	0	0	1
113.16	0.75	220	111.15	2	3	1	107	1	0.48879	1
116.45	0.75	221	114.44	2	3	4	164	0	0	1
120.46	0.75	222	118.45	2	3	2	304	0	0	1
124.47	0.75	223	122.46	2	3	1	111	0	0	1
127.98	0.75	224	125.97	2	3	5	193	1	0.4201	1
131.26	0.75	225	129.26	2	3	3	233	0	0	1
135.04	0.75	226	133.03	2	3	1	112	0	0	1
138.04	0.75	227	136.04	2	3	4	177	0	0	1
141.05	0.75	228	139.04	2	3	1	114	0	0	1
144.81	0.75	229	142.8	2	3	2	302	0	0	1
148.57	0.75	230	146.56	2	3	4	184	0	0	1
152.57	0.75	231	150.57	2	3	2	301	0	0	1
155.58	0.75	232	153.57	2	3	5	207	1	0.59892	1
159.11	0.75	233	157.11	2	3	4	168	0	0	1
163.12	0.75	234	161.11	2	3	5	191	0	0	1
166.38	0.75	235	164.37	2	3	6	241	0	0	1
169.9	0.75	236	167.9	2	3	5	205	0	0	1
206.6	0.75	237	204.59	2	3	3	236	0	0	1
210.36	0.75	238	208.35	2	3	4	177	1	0.69544	1
214.14	0.75	239	212.13	2	3	6	244	0	0	1
217.4	0.75	240	215.39	2	3	5	193	0	0	1
221.4	0.75	241	219.4	2	3	2	307	0	0	1
224.66	0.75	242	222.66	2	3	1	119	0	0	1
227.92	0.75	243	225.91	2	3	4	162	0	0	1
231.67	0.75	244	229.67	2	3	3	226	0	0	1
235.18	0.75	245	233.18	2	3	5	209	0	0	1
238.46	0.75	246	236.45	2	3	3	234	0	0	1
241.47	0.75	247	239.46	2	3	5	205	0	0	1
245.23	0.75	248	243.22	2	3	2	305	0	0	1
248.98	0.75	249	246.98	2	3	6	241	0	0	1
252.74	0.75	250	250.74	2	3	1	111	1	0.58363	1
256.02	0.75	251	254.02	2	3	3	228	0	0	1
259.28	0.75	252	257.28	2	3	6	242	0	0	1
262.29	0.75	253	260.29	2	3	4	164	0	0	1
266.3	0.75	254	264.29	2	3	2	301	0	0	1
270.05	0.75	255	268.05	2	3	5	191	0	0	1
273.08	0.75	256	271.07	2	3	1	116	1	0.49469	1
276.62	0.75	257	274.61	2	3	2	308	0	0	1
280.62	0.75	258	278.62	2	3	4	168	0	0	1
284.13	0.75	259	282.12	2	3	6	245	0	0	1
287.39	0.75	260	285.38	2	3	1	107	0	0	1
290.65	0.75	261	288.64	2	3	2	302	0	0	1
294.41	0.75	262	292.41	2	3	6	245	0	0	1
298.42	0.75	263	296.42	2	3	2	305	0	0	1
302.18	0.75	264	300.17	2	3	3	226	0	0	1
305.18	0.75	265	303.18	2	3	1	114	1	0.5046	1
308.73	0.75	266	306.73	2	3	5	209	1	0.474	1
312.02	0.75	267	310.01	2	3	1	112	0	0	1
315.78	0.75	268	313.77	2	3	2	304	0	0	1
319.79	0.75	269	317.78	2	3	3	234	0	0	1
323.55	0.75	270	321.54	2	3	4	164	1	0.52103	1
327.58	0.75	271	325.58	2	3	1	119	0	0	1
330.84	0.75	272	328.83	2	3	6	241	0	0	1
334.1	0.75	273	332.09	2	3	1	116	0	0	1
337.11	0.75	274	335.1	2	3	6	243	0	0	1
340.11	0.75	275	338.11	2	3	3	236	0	0	1
343.88	0.75	276	341.88	2	3	6	244	0	0	1
347.14	0.75	277	345.14	2	3	4	184	0	0	1
351.15	0.75	278	349.15	2	3	5	191	0	0	1
354.16	0.75	279	352.15	2	3	4	168	0	0	1
358.17	0.75	280	356.16	2	3	3	233	1	0.47915	1
362.2	0.75	281	360.2	2	3	4	162	0	0	1
365.96	0.75	282	363.95	2	3	5	207	0	0	1
