onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0146	0.75	377	4.0041	2	5	4	177	0	0	1
9.7692	0.75	378	7.7615	2	5	2	301	0	0	1
12.774	0.75	379	10.769	2	5	6	245	0	0	1
16.032	0.75	380	14.027	2	5	3	226	0	0	1
19.291	0.75	381	17.286	2	5	6	242	0	0	1
22.549	0.75	382	20.545	2	5	2	302	0	0	1
26.56	0.75	383	24.554	2	5	5	209	1	0.66979	1
29.848	0.75	384	27.841	2	5	1	111	0	0	1
32.851	0.75	385	30.847	2	5	5	193	0	0	1
36.128	0.75	386	34.12	2	5	1	116	0	0	1
39.129	0.75	387	37.125	2	5	6	244	0	0	1
42.889	0.75	388	40.883	2	5	1	119	0	0	1
46.144	0.75	389	44.139	2	5	5	205	0	0	1
50.157	0.75	390	48.15	2	5	2	307	0	0	1
53.16	0.75	391	51.156	2	5	4	168	0	0	1
57.17	0.75	392	55.165	2	5	5	207	0	0	1
60.68	0.75	393	58.673	2	5	2	308	1	0.63295	1
63.969	0.75	394	61.962	2	5	3	233	0	0	1
66.975	0.75	395	64.97	2	5	6	243	0	0	1
71.003	0.75	396	68.997	2	5	3	228	1	0.43619	1
74.785	0.75	397	72.78	2	5	4	184	0	0	1
77.792	0.75	398	75.787	2	5	3	234	0	0	1
81.803	0.75	399	79.796	2	5	1	107	0	0	1
85.56	0.75	400	83.554	2	5	4	164	0	0	1
88.562	0.75	401	86.558	2	5	6	242	0	0	1
92.322	0.75	402	90.317	2	5	3	236	0	0	1
96.081	0.75	403	94.076	2	5	5	191	0	0	1
99.338	0.75	404	97.333	2	5	6	244	1	0.5704	1
102.37	0.75	405	100.37	2	5	5	193	0	0	1
105.65	0.75	406	103.64	2	5	6	243	0	0	1
109.41	0.75	407	107.4	2	5	1	116	0	0	1
112.91	0.75	408	110.91	2	5	4	177	1	0.39493	1
116.95	0.75	409	114.94	2	5	2	305	0	0	1
120.71	0.75	410	118.71	2	5	4	162	0	0	1
124.47	0.75	411	122.46	2	5	1	119	1	0.45203	1
127.51	0.75	412	125.5	2	5	5	205	0	0	1
131.27	0.75	413	129.26	2	5	1	112	0	0	1
135.03	0.75	414	133.02	2	5	2	308	0	0	1
138.79	0.75	415	136.78	2	5	3	226	1	0.49482	1
142.09	0.75	416	140.08	2	5	1	114	0	0	1
145.85	0.75	417	143.85	2	5	3	233	0	0	1
149.61	0.75	418	147.6	2	5	2	304	0	0	1
152.86	0.75	419	150.86	2	5	5	207	0	0	1
156.37	0.75	420	154.36	2	5	3	228	0	0	1
160.38	0.75	421	158.37	2	5	4	164	0	0	1
163.89	0.75	422	161.88	2	5	6	241	1	0.55166	1
166.92	0.75	423	164.92	2	5	4	168	0	0	1
170.68	0.75	424	168.68	2	5	2	307	0	0	1
206.84	0.75	425	204.83	2	5	5	191	0	0	1
210.36	0.75	426	208.35	2	5	2	302	0	0	1
213.62	0.75	427	211.61	2	5	5	193	0	0	1
217.63	0.75	428	215.62	2	5	6	241	0	0	1
221.63	0.75	429	219.63	2	5	1	114	0	0	1
224.89	0.75	430	222.88	2	5	6	243	0	0	1
228.65	0.75	431	226.64	2	5	4	168	0	0	1
232.66	0.75	432	230.65	2	5	6	245	1	0.60753	1
235.69	0.75	433	233.69	2	5	3	226	0	0	1
239.45	0.75	434	237.45	2	5	5	205	0	0	1
242.46	0.75	435	240.46	2	5	3	234	1	0.48762	1
245.51	0.75	436	243.51	2	5	6	242	0	0	1
248.52	0.75	437	246.51	2	5	2	305	0	0	1
252.53	0.75	438	250.52	2	5	4	184	0	0	1
255.53	0.75	439	253.53	2	5	3	228	0	0	1
259.55	0.75	440	257.54	2	5	1	111	0	0	1
262.8	0.75	441	260.8	2	5	2	304	0	0	1
266.56	0.75	442	264.56	2	5	1	112	0	0	1
270.32	0.75	443	268.31	2	5	4	164	0	0	1
273.83	0.75	444	271.82	2	5	5	191	1	0.50925	1
277.61	0.75	445	275.6	2	5	2	301	0	0	1
280.88	0.75	446	278.88	2	5	3	236	0	0	1
284.65	0.75	447	282.64	2	5	1	107	1	0.51316	1
288.43	0.75	448	286.43	2	5	4	162	0	0	1
291.94	0.75	449	289.94	2	5	6	245	1	0.57214	1
295.23	0.75	450	293.22	2	5	1	107	0	0	1
298.99	0.75	451	296.98	2	5	6	244	0	0	1
303	0.75	452	300.99	2	5	3	234	0	0	1
306.25	0.75	453	304.25	2	5	6	241	0	0	1
310.01	0.75	454	308.01	2	5	5	209	0	0	1
313.77	0.75	455	311.77	2	5	4	162	0	0	1
316.8	0.75	456	314.79	2	5	5	207	0	0	1
320.81	0.75	457	318.8	2	5	3	236	0	0	1
323.82	0.75	458	321.81	2	5	4	184	0	0	1
327.08	0.75	459	325.07	2	5	3	233	0	0	1
330.33	0.75	460	328.33	2	5	5	209	0	0	1
333.84	0.75	461	331.84	2	5	4	164	1	0.5866	1
336.88	0.75	462	334.87	2	5	1	111	0	0	1
340.89	0.75	463	338.89	2	5	2	308	0	0	1
344.9	0.75	464	342.9	2	5	4	177	0	0	1
348.66	0.75	465	346.65	2	5	1	116	0	0	1
352.19	0.75	466	350.18	2	5	2	301	0	0	1
356.2	0.75	467	354.19	2	5	1	119	0	0	1
360.21	0.75	468	358.2	2	5	2	307	0	0	1
