onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0138	0.75	95	4.004	2	2	3	234	0	0	1
9.7785	0.75	96	7.7725	2	2	5	205	0	0	1
12.783	0.75	97	10.778	2	2	6	245	0	0	1
16.545	0.75	98	14.538	2	2	2	307	0	0	1
20.303	0.75	99	18.298	2	2	6	243	0	0	1
23.812	0.75	100	21.805	2	2	4	164	0	0	1
27.316	0.75	101	25.311	2	2	5	209	0	0	1
31.077	0.75	102	29.07	2	2	2	308	0	0	1
35.083	0.75	103	33.079	2	2	4	184	1	0.45655	1
38.371	0.75	104	36.364	2	2	2	304	0	0	1
41.374	0.75	105	39.369	2	2	6	241	1	0.44737	1
44.424	0.75	106	42.416	2	2	2	305	1	0.70882	1
47.71	0.75	107	45.704	2	2	5	207	0	0	1
50.719	0.75	108	48.715	2	2	3	236	0	0	1
53.975	0.75	109	51.97	2	2	4	162	0	0	1
57.733	0.75	110	55.728	2	2	3	226	0	0	1
61.743	0.75	111	59.738	2	2	5	191	0	0	1
64.752	0.75	112	62.746	2	2	4	177	0	0	1
68.765	0.75	113	66.757	2	2	1	119	0	0	1
72.518	0.75	114	70.513	2	2	6	244	0	0	1
75.527	0.75	115	73.52	2	2	1	114	0	0	1
79.552	0.75	116	77.544	2	2	2	301	1	0.55262	1
82.591	0.75	117	80.583	2	2	3	233	0	0	1
85.595	0.75	118	83.588	2	2	1	107	0	0	1
89.598	0.75	119	87.591	2	2	2	304	0	0	1
93.103	0.75	120	91.098	2	2	5	209	0	0	1
96.862	0.75	121	94.855	2	2	2	305	0	0	1
100.37	0.75	122	98.365	2	2	1	116	0	0	1
104.13	0.75	123	102.13	2	2	3	233	0	0	1
107.13	0.75	124	105.13	2	2	5	205	1	0.55116	1
110.42	0.75	125	108.42	2	2	1	114	0	0	1
113.44	0.75	126	111.43	2	2	4	184	0	0	1
116.7	0.75	127	114.69	2	2	5	207	0	0	1
119.7	0.75	128	117.7	2	2	6	244	0	0	1
122.96	0.75	129	120.96	2	2	1	116	0	0	1
126.72	0.75	130	124.71	2	2	6	243	0	0	1
129.98	0.75	131	127.97	2	2	3	236	0	0	1
133.74	0.75	132	131.73	2	2	1	111	0	0	1
137.75	0.75	133	135.74	2	2	3	234	1	0.59413	1
140.79	0.75	134	138.78	2	2	4	168	0	0	1
143.79	0.75	135	141.79	2	2	2	302	0	0	1
147.57	0.75	136	145.56	2	2	4	162	0	0	1
151.33	0.75	137	149.32	2	2	6	242	0	0	1
155.34	0.75	138	153.33	2	2	5	193	0	0	1
159.35	0.75	139	157.34	2	2	3	228	1	0.46843	1
162.88	0.75	140	160.88	2	2	4	177	0	0	1
166.89	0.75	141	164.89	2	2	6	245	0	0	1
170.91	0.75	142	168.9	2	2	1	112	0	0	1
208.23	0.75	143	206.22	2	2	6	243	0	0	1
211.24	0.75	144	209.23	2	2	2	308	1	0.71161	1
215.03	0.75	145	213.02	2	2	1	107	0	0	1
219.05	0.75	146	217.04	2	2	2	307	0	0	1
222.81	0.75	147	220.8	2	2	5	205	0	0	1
226.57	0.75	148	224.56	2	2	3	226	0	0	1
229.83	0.75	149	227.82	2	2	4	168	1	0.50993	1
233.61	0.75	150	231.61	2	2	1	111	0	0	1
237.62	0.75	151	235.62	2	2	3	233	0	0	1
240.63	0.75	152	238.62	2	2	2	301	0	0	1
244.39	0.75	153	242.38	2	2	6	242	0	0	1
247.65	0.75	154	245.64	2	2	5	191	0	0	1
250.65	0.75	155	248.65	2	2	4	177	0	0	1
254.43	0.75	156	252.42	2	2	5	207	0	0	1
257.44	0.75	157	255.43	2	2	1	119	0	0	1
260.69	0.75	158	258.69	2	2	4	164	0	0	1
264.2	0.75	159	262.19	2	2	2	307	1	0	0
267.96	0.75	160	265.96	2	2	3	228	0	0	1
271.22	0.75	161	269.21	2	2	6	244	0	0	1
274.98	0.75	162	272.98	2	2	3	234	0	0	1
278.99	0.75	163	276.99	2	2	4	184	0	0	1
282.25	0.75	164	280.24	2	2	1	112	0	0	1
286.26	0.75	165	284.25	2	2	5	193	0	0	1
289.53	0.75	166	287.52	2	2	6	241	1	0.62468	1
293.31	0.75	167	291.31	2	2	2	302	0	0	1
297.32	0.75	168	295.32	2	2	5	209	0	0	1
300.58	0.75	169	298.58	2	2	3	233	0	0	1
304.34	0.75	170	302.34	2	2	1	114	1	0.55034	1
307.38	0.75	171	305.37	2	2	2	304	0	0	1
311.39	0.75	172	309.38	2	2	5	191	0	0	1
315.14	0.75	173	313.14	2	2	6	243	0	0	1
318.9	0.75	174	316.9	2	2	3	226	0	0	1
322.16	0.75	175	320.16	2	2	5	205	0	0	1
325.93	0.75	176	323.92	2	2	4	164	0	0	1
329.94	0.75	177	327.93	2	2	2	308	0	0	1
333.45	0.75	178	331.44	2	2	6	242	0	0	1
337.21	0.75	179	335.2	2	2	3	236	0	0	1
341.22	0.75	180	339.21	2	2	2	305	1	0.56245	1
344.51	0.75	181	342.5	2	2	3	228	0	0	1
347.51	0.75	182	345.51	2	2	4	168	0	0	1
350.77	0.75	183	348.77	2	2	1	119	1	0.51548	1
354.06	0.75	184	352.05	2	2	6	245	1	0.42615	1
357.35	0.75	185	355.34	2	2	4	162	0	0	1
360.37	0.75	186	358.36	2	2	5	193	0	0	1
363.88	0.75	187	361.87	2	2	6	241	0	0	1
367.64	0.75	188	365.63	2	2	1	116	0	0	1
