onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0136	0.75	189	4.0037	2	3	4	162	0	0	1
9.267	0.75	190	7.2609	2	3	6	242	0	0	1
13.273	0.75	191	11.268	2	3	2	302	0	0	1
17.284	0.75	192	15.279	2	3	6	244	0	0	1
20.293	0.75	193	18.288	2	3	4	177	0	0	1
23.302	0.75	194	21.297	2	3	6	241	0	0	1
26.322	0.75	195	24.306	2	3	3	233	0	0	1
29.342	0.75	196	27.334	2	3	1	112	1	0.55069	1
33.131	0.75	197	31.125	2	3	3	234	0	0	1
36.14	0.75	198	34.134	2	3	6	243	0	0	1
39.397	0.75	199	37.389	2	3	1	119	0	0	1
43.152	0.75	200	41.147	2	3	5	207	0	0	1
46.41	0.75	201	44.405	2	3	4	168	0	0	1
50.172	0.75	202	48.167	2	3	5	193	0	0	1
53.936	0.75	203	51.929	2	3	3	228	0	0	1
56.94	0.75	204	54.933	2	3	1	116	1	0.48962	1
59.976	0.75	205	57.971	2	3	5	209	0	0	1
63.503	0.75	206	61.495	2	3	2	304	1	0.8321	1
66.759	0.75	207	64.751	2	3	6	243	0	0	1
69.762	0.75	208	67.757	2	3	5	205	1	0.44671	1
72.797	0.75	209	70.79	2	3	2	307	0	0	1
76.551	0.75	210	74.546	2	3	3	226	0	0	1
80.308	0.75	211	78.302	2	3	4	184	0	0	1
84.314	0.75	212	82.307	2	3	1	114	0	0	1
88.323	0.75	213	86.317	2	3	3	228	0	0	1
91.331	0.75	214	89.326	2	3	6	245	0	0	1
95.092	0.75	215	93.085	2	3	2	305	0	0	1
98.861	0.75	216	96.856	2	3	3	226	0	0	1
102.37	0.75	217	100.37	2	3	6	242	0	0	1
106.14	0.75	218	104.13	2	3	2	308	0	0	1
109.14	0.75	219	107.14	2	3	3	236	0	0	1
113.16	0.75	220	111.15	2	3	1	107	1	0.51046	1
116.45	0.75	221	114.44	2	3	4	164	0	0	1
120.46	0.75	222	118.45	2	3	2	304	0	0	1
124.47	0.75	223	122.46	2	3	1	111	0	0	1
127.97	0.75	224	125.97	2	3	5	193	1	0.57203	1
131.26	0.75	225	129.25	2	3	3	233	0	0	1
135.03	0.75	226	133.02	2	3	1	112	0	0	1
138.03	0.75	227	136.03	2	3	4	177	0	0	1
141.04	0.75	228	139.04	2	3	1	114	0	0	1
144.8	0.75	229	142.8	2	3	2	302	0	0	1
148.56	0.75	230	146.56	2	3	4	184	0	0	1
152.57	0.75	231	150.57	2	3	2	301	0	0	1
155.58	0.75	232	153.57	2	3	5	207	1	0.86292	1
159.09	0.75	233	157.08	2	3	4	168	0	0	1
163.1	0.75	234	161.09	2	3	5	191	0	0	1
166.36	0.75	235	164.35	2	3	6	241	0	0	1
169.88	0.75	236	167.88	2	3	5	205	0	0	1
207.07	0.75	237	205.06	2	3	3	236	0	0	1
210.83	0.75	238	208.82	2	3	4	177	1	0.78415	1
214.59	0.75	239	212.58	2	3	6	244	0	0	1
217.84	0.75	240	215.84	2	3	5	193	0	0	1
221.85	0.75	241	219.85	2	3	2	307	0	0	1
225.11	0.75	242	223.1	2	3	1	119	0	0	1
228.37	0.75	243	226.36	2	3	4	162	0	0	1
232.13	0.75	244	230.12	2	3	3	226	0	0	1
235.64	0.75	245	233.63	2	3	5	209	0	0	1
238.91	0.75	246	236.9	2	3	3	234	0	0	1
241.92	0.75	247	239.91	2	3	5	205	0	0	1
245.68	0.75	248	243.68	2	3	2	305	0	0	1
249.44	0.75	249	247.43	2	3	6	241	0	0	1
253.2	0.75	250	251.2	2	3	1	111	1	0.41593	1
256.49	0.75	251	254.49	2	3	3	228	0	0	1
259.75	0.75	252	257.74	2	3	6	242	0	0	1
262.76	0.75	253	260.75	2	3	4	164	0	0	1
266.77	0.75	254	264.76	2	3	2	301	0	0	1
270.53	0.75	255	268.52	2	3	5	191	0	0	1
273.55	0.75	256	271.54	2	3	1	116	1	0.44149	1
277.09	0.75	257	275.08	2	3	2	308	0	0	1
281.09	0.75	258	279.09	2	3	4	168	0	0	1
284.6	0.75	259	282.6	2	3	6	245	0	0	1
287.86	0.75	260	285.85	2	3	1	107	0	0	1
291.12	0.75	261	289.11	2	3	2	302	0	0	1
294.88	0.75	262	292.87	2	3	6	245	0	0	1
298.89	0.75	263	296.88	2	3	2	305	0	0	1
302.65	0.75	264	300.64	2	3	3	226	0	0	1
305.66	0.75	265	303.65	2	3	1	114	1	0.54129	1
309.2	0.75	266	307.2	2	3	5	209	1	0.58284	1
312.49	0.75	267	310.49	2	3	1	112	0	0	1
316.25	0.75	268	314.24	2	3	2	304	0	0	1
320.26	0.75	269	318.25	2	3	3	234	0	0	1
324.02	0.75	270	322.01	2	3	4	164	1	0.51615	1
328.06	0.75	271	326.05	2	3	1	119	0	0	1
331.31	0.75	272	329.31	2	3	6	241	0	1.0187	0
334.58	0.75	273	332.56	2	3	1	116	0	0	1
337.58	0.75	274	335.57	2	3	6	243	0	0	1
340.58	0.75	275	338.58	2	3	3	236	0	0	1
344.36	0.75	276	342.35	2	3	6	244	0	0	1
347.61	0.75	277	345.61	2	3	4	184	0	0	1
351.62	0.75	278	349.62	2	3	5	191	0	0	1
354.63	0.75	279	352.62	2	3	4	168	0	0	1
358.64	0.75	280	356.63	2	3	3	233	1	0.57424	1
362.68	0.75	281	360.67	2	3	4	162	0	0	1
366.44	0.75	282	364.43	2	3	5	207	0	0	1
