onset	duration	trial	onsetsprobeapprox	block	episode	stimcue	stimprobe	categorycue	categoryprobe	episodeprobe	positioncue	positionprobe	probecorrect	afterbefore	choicetimelimit	choiceresp	choicekey	choicert	accurate	confresponse	confkey	confrt
7.0583	5.5	130	n/a	4	7	114	n/a	1	n/a	n/a	4	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.334	5.5	131	n/a	4	3	162	n/a	4	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
26.131	5.5	132	n/a	4	5	209	n/a	5	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
35.566	5.5	133	n/a	4	4	226	n/a	3	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
44.136	5.5	134	n/a	4	1	205	n/a	5	n/a	n/a	3	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
53.526	5.5	135	n/a	4	8	305	n/a	2	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
63.704	5.5	136	n/a	4	5	209	n/a	5	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
72.14	5.5	137	n/a	4	7	243	n/a	6	n/a	n/a	3	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
81.123	5.5	138	n/a	4	4	244	n/a	6	n/a	n/a	3	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
89.32	5.5	139	n/a	4	5	209	n/a	5	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
102.68	5.5	140	n/a	4	8	466	n/a	8	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
112.35	5.5	141	n/a	4	2	437	n/a	7	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
121.19	5.5	142	n/a	4	1	431	n/a	7	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
130.26	5.5	143	n/a	4	8	466	n/a	8	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
138.9	5.5	144	n/a	4	3	242	n/a	6	n/a	n/a	3	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
147.16	5.5	145	n/a	4	2	207	n/a	5	n/a	n/a	4	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
156.55	5.5	146	n/a	4	4	244	n/a	6	n/a	n/a	3	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
165.72	5.5	147	n/a	4	8	228	n/a	3	n/a	n/a	4	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
176	5.5	148	n/a	4	6	245	n/a	6	n/a	n/a	4	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
219.93	5.5	149	n/a	4	7	164	n/a	4	n/a	n/a	2	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
228.28	5.5	150	n/a	4	8	305	n/a	2	n/a	n/a	2	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
240.23	5.5	151	n/a	4	6	233	n/a	3	n/a	n/a	1	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
248.68	5.5	152	n/a	4	5	304	n/a	2	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
257.65	5.5	153	n/a	4	8	228	n/a	3	n/a	n/a	4	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
267.44	5.5	154	n/a	4	4	193	n/a	5	n/a	n/a	4	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
276.83	5.5	155	n/a	4	6	245	n/a	6	n/a	n/a	4	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
285.68	5.5	156	n/a	4	8	184	n/a	4	n/a	n/a	1	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
294.55	5.5	157	n/a	4	5	304	n/a	2	n/a	n/a	2	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
303.96	5.5	158	n/a	4	2	236	n/a	3	n/a	n/a	2	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
312.61	5.5	159	n/a	4	7	243	n/a	6	n/a	n/a	3	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
321.93	5.5	160	n/a	4	1	112	n/a	1	n/a	n/a	1	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
332.24	5.5	161	n/a	4	5	209	n/a	5	n/a	n/a	1	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
344.98	5.5	162	n/a	4	7	114	n/a	1	n/a	n/a	4	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
353.32	5.5	163	n/a	4	1	431	n/a	7	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
362.23	5.5	164	n/a	4	4	244	n/a	6	n/a	n/a	3	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
371.29	5.5	165	n/a	4	2	116	n/a	1	n/a	n/a	3	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
380.38	5.5	166	n/a	4	1	234	n/a	3	n/a	n/a	4	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
391.18	5.5	167	n/a	4	6	245	n/a	6	n/a	n/a	4	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
401.73	5.5	168	n/a	4	4	433	n/a	7	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
410.7	5.5	169	n/a	4	5	107	n/a	1	n/a	n/a	3	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
419.37	5.5	170	n/a	4	7	465	n/a	8	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
428.31	5.5	171	n/a	4	4	244	n/a	6	n/a	n/a	3	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
438.19	5.5	172	n/a	4	8	466	n/a	8	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	130	12.558	4	7	n/a	466	n/a	8	8	n/a	5	0	1	1.75	0	2	1.0178	1	1	2	0.94848
n/a	n/a	131	21.834	4	3	n/a	116	n/a	1	2	n/a	3	0	1	2	0	1	0.84476	1	1	1	1.1424
n/a	n/a	132	31.631	4	5	n/a	228	n/a	3	8	n/a	4	0	1	2.25	0	1	0.92817	1	1	2	0.69732
n/a	n/a	133	41.066	4	4	n/a	116	n/a	1	2	n/a	3	0	1	2.5	0	1	0.7658	1	1	2	0.50453
n/a	n/a	134	49.636	4	1	n/a	244	n/a	6	4	n/a	3	0	1	2.75	0	2	0.93454	1	1	2	0.64922
n/a	n/a	135	59.026	4	8	n/a	184	n/a	4	8	n/a	1	0	1	3	0	2	1.1658	1	1	1	2.1984
n/a	n/a	136	69.204	4	5	n/a	305	n/a	2	8	n/a	2	0	1	3	0	2	0.91142	1	1	2	0.72795
n/a	n/a	137	77.64	4	7	n/a	164	n/a	4	7	n/a	2	0	1	3	0	1	0.76087	1	0	2	0.41986
n/a	n/a	138	86.623	4	4	n/a	226	n/a	3	4	n/a	2	0	1	3	0	1	0.84708	1	1	2	0.53478
n/a	n/a	139	94.82	4	5	n/a	464	n/a	8	6	n/a	5	0	1	3	0	1	1.0168	1	1	2	0.78665
n/a	n/a	140	108.18	4	8	n/a	177	n/a	4	6	n/a	2	0	-1	3	0	2	1.0173	1	1	1	0.84831
n/a	n/a	141	117.85	4	2	n/a	241	n/a	6	2	n/a	1	1	-1	3	0	2	0.89593	0	0	2	0.64465
n/a	n/a	142	126.69	4	1	n/a	236	n/a	3	2	n/a	2	0	-1	3	0	1	0.99936	1	0	2	0.77533
n/a	n/a	143	135.76	4	8	n/a	114	n/a	1	7	n/a	4	0	-1	3	0	2	1.0028	1	1	1	0.83315
n/a	n/a	144	144.4	4	3	n/a	302	n/a	2	4	n/a	1	0	-1	3	0	2	0.87104	1	1	2	0.57784
n/a	n/a	145	152.66	4	2	n/a	205	n/a	5	1	n/a	3	0	-1	2.75	0	1	1.0543	1	1	1	1.5275
n/a	n/a	146	162.05	4	4	n/a	241	n/a	6	2	n/a	1	0	-1	2.5	0	2	1.0635	1	1	1	0.79626
n/a	n/a	147	171.22	4	8	n/a	466	n/a	8	8	n/a	5	0	-1	2.25	0	1	1.2147	1	1	2	2.2609
n/a	n/a	148	181.5	4	6	n/a	307	n/a	2	7	n/a	1	0	-1	2	0	2	1.2825	1	0	1	1.1309
n/a	n/a	149	225.43	4	7	n/a	107	n/a	1	5	n/a	3	0	-1	1.75	0	1	0.98967	1	1	2	0.55045
n/a	n/a	150	233.78	4	8	n/a	242	n/a	6	3	n/a	3	0	-1	1.5	0	2	0.86197	1	1	1	0.67305
n/a	n/a	151	245.73	4	6	n/a	191	n/a	5	6	n/a	3	1	1	1.25	0	1	0.94894	0	0	2	0.70511
n/a	n/a	152	254.18	4	5	n/a	114	n/a	1	7	n/a	4	0	1	1	0	1	0.84481	1	1	1	0.81202
n/a	n/a	153	263.15	4	8	n/a	119	n/a	1	8	n/a	3	0	1	1	0	0	n/a	n/a	n/a	0	n/a
n/a	n/a	154	272.94	4	4	n/a	164	n/a	4	7	n/a	2	0	1	1	0	2	0.84644	1	1	2	0.74001
n/a	n/a	155	282.33	4	6	n/a	464	n/a	8	6	n/a	5	1	1	1	0	1	0.93787	0	1	1	1.101
n/a	n/a	156	291.18	4	8	n/a	119	n/a	1	8	n/a	3	1	1	1	1	1	0.73444	1	1	1	0.8344
n/a	n/a	157	300.05	4	5	n/a	462	n/a	8	5	n/a	5	1	1	1	1	2	0.92341	1	1	2	0.67608
n/a	n/a	158	309.46	4	2	n/a	207	n/a	5	2	n/a	4	1	1	1	1	1	0.93351	1	0	1	0.90162
n/a	n/a	159	318.11	4	7	n/a	465	n/a	8	7	n/a	5	1	1	1	1	1	0.86541	1	0	1	1.1527
n/a	n/a	160	327.43	4	1	n/a	234	n/a	3	1	n/a	4	1	1	1	0	0	n/a	n/a	n/a	0	n/a
n/a	n/a	161	337.74	4	5	n/a	462	n/a	8	5	n/a	5	1	1	1	1	1	0.90334	1	1	2	0.67655
n/a	n/a	162	350.48	4	7	n/a	301	n/a	2	3	n/a	4	0	-1	1	0	1	0.96423	1	1	2	0.57294
n/a	n/a	163	358.82	4	1	n/a	111	n/a	1	3	n/a	2	0	-1	1	0	1	0.80797	1	1	1	0.79766
n/a	n/a	164	367.73	4	4	n/a	242	n/a	6	3	n/a	3	0	-1	1	0	2	0.84659	1	1	1	0.91236
n/a	n/a	165	376.79	4	2	n/a	236	n/a	3	2	n/a	2	1	-1	1	1	2	0.99248	1	1	1	0.7974
n/a	n/a	166	385.88	4	1	n/a	193	n/a	5	4	n/a	4	0	-1	1.25	0	0	n/a	n/a	n/a	0	n/a
n/a	n/a	167	396.68	4	6	n/a	191	n/a	5	6	n/a	3	1	-1	1.5	0	1	0.72526	0	0	2	2.0248
n/a	n/a	168	407.23	4	4	n/a	193	n/a	5	4	n/a	4	1	-1	1.75	0	2	0.86593	0	1	1	0.79037
n/a	n/a	169	416.2	4	5	n/a	304	n/a	2	5	n/a	2	1	-1	2	1	1	0.70432	1	1	2	0.65545
n/a	n/a	170	424.87	4	7	n/a	114	n/a	1	7	n/a	4	1	-1	2.25	1	1	0.84453	1	0	1	0.79719
n/a	n/a	171	433.81	4	4	n/a	226	n/a	3	4	n/a	2	1	-1	2.5	0	2	0.95373	0	1	1	1.1256
n/a	n/a	172	443.69	4	8	n/a	305	n/a	2	8	n/a	2	1	-1	2.75	1	1	0.74597	1	1	1	0.66154
