onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0135	0.75	283	4.0038	2	4	2	302	0	0	1
10.018	0.75	284	8.0125	2	4	3	236	0	0	1
13.778	0.75	285	11.773	2	4	4	184	1	0.58802	1
17.585	0.75	286	15.579	2	4	6	244	0	0	1
21.343	0.75	287	19.338	2	4	5	209	0	0	1
24.349	0.75	288	22.345	2	4	4	177	0	0	1
27.359	0.75	289	25.352	2	4	2	307	0	0	1
30.614	0.75	290	28.607	2	4	1	114	0	0	1
34.369	0.75	291	32.363	2	4	4	162	1	0.52422	1
37.906	0.75	292	35.901	2	4	5	205	0	0	1
41.92	0.75	293	39.913	2	4	1	111	0	0	1
45.927	0.75	294	43.922	2	4	6	242	0	0	1
49.436	0.75	295	47.429	2	4	3	233	0	0	1
53.464	0.75	296	51.457	2	4	1	112	0	0	1
56.719	0.75	297	54.713	2	4	5	193	1	0.49849	1
60.006	0.75	298	57.999	2	4	1	107	0	0	1
63.01	0.75	299	61.004	2	4	2	308	0	0	1
66.515	0.75	300	64.51	2	4	6	243	0	0	1
70.277	0.75	301	68.27	2	4	2	301	0	0	1
73.53	0.75	302	71.526	2	4	3	234	0	0	1
76.536	0.75	303	74.531	2	4	6	245	0	0	1
79.798	0.75	304	77.791	2	4	4	164	0	0	1
83.555	0.75	305	81.551	2	4	5	207	0	0	1
87.08	0.75	306	85.075	2	4	3	228	0	0	1
90.09	0.75	307	88.083	2	4	1	111	1	0.60276	1
93.377	0.75	308	91.37	2	4	2	305	0	0	1
97.135	0.75	309	95.13	2	4	5	207	0	0	1
100.9	0.75	310	98.89	2	4	6	243	0	0	1
104.15	0.75	311	102.15	2	4	5	193	0	0	1
107.91	0.75	312	105.91	2	4	2	304	0	0	1
111.67	0.75	313	109.67	2	4	1	116	0	0	1
114.68	0.75	314	112.67	2	4	2	307	0	0	1
118.44	0.75	315	116.43	2	4	3	233	0	0	1
121.71	0.75	316	119.71	2	4	5	191	0	0	1
124.72	0.75	317	122.71	2	4	3	234	0	0	1
127.72	0.75	318	125.72	2	4	6	244	1	0.9627	1
131.49	0.75	319	129.47	2	4	1	107	0	0	1
135.24	0.75	320	133.23	2	4	2	308	0	0	1
139.25	0.75	321	137.24	2	4	4	184	0	0	1
143.01	0.75	322	141	2	4	3	226	0	0	1
146.77	0.75	323	144.76	2	4	1	119	0	0	1
149.77	0.75	324	147.77	2	4	4	177	0	0	1
153.53	0.75	325	151.52	2	4	5	205	0	0	1
156.55	0.75	326	154.55	2	4	4	162	0	0	1
160.56	0.75	327	158.55	2	4	3	228	0	0	1
163.56	0.75	328	161.56	2	4	4	168	1	0	0
166.57	0.75	329	164.57	2	4	6	242	0	0	1
169.58	0.75	330	167.57	2	4	2	302	1	0.49838	1
206.29	0.75	331	204.28	2	4	6	241	0	0	1
209.55	0.75	332	207.54	2	4	3	233	0	0	1
213.56	0.75	333	211.55	2	4	1	116	0	0	1
216.57	0.75	334	214.56	2	4	4	164	0	0	1
219.57	0.75	335	217.57	2	4	2	301	1	0.4696	1
222.87	0.75	336	220.87	2	4	5	209	0	0	1
226.38	0.75	337	224.38	2	4	6	243	1	0.41154	1
230.42	0.75	338	228.41	2	4	4	184	0	0	1
233.93	0.75	339	231.92	2	4	5	193	0	0	1
237.69	0.75	340	235.68	2	4	1	114	0	0	1
240.69	0.75	341	238.69	2	4	2	304	0	0	1
244.45	0.75	342	242.45	2	4	6	245	0	0	1
247.71	0.75	343	245.7	2	4	5	191	0	0	1
251.72	0.75	344	249.72	2	4	3	228	0	0	1
255.23	0.75	345	253.22	2	4	1	119	0	0	1
259	0.75	346	257	2	4	6	241	0	0	1
263.01	0.75	347	261.01	2	4	3	236	1	0.32615	1
266.3	0.75	348	264.29	2	4	5	205	0	0	1
270.31	0.75	349	268.3	2	4	6	245	0	0	1
274.07	0.75	350	272.06	2	4	2	305	0	0	1
277.58	0.75	351	275.57	2	4	4	168	0	0	1
280.83	0.75	352	278.83	2	4	3	226	1	0.71917	1
284.62	0.75	353	282.61	2	4	1	112	0	0	1
287.87	0.75	354	285.87	2	4	4	177	0	0	1
290.88	0.75	355	288.88	2	4	3	236	0	0	1
294.16	0.75	356	292.15	2	4	6	242	1	0.51548	1
297.45	0.75	357	295.44	2	4	2	307	0	0	1
301.2	0.75	358	299.19	2	4	4	164	0	0	1
304.2	0.75	359	302.2	2	4	3	226	0	0	1
307.96	0.75	360	305.96	2	4	5	193	0	0	1
311.72	0.75	361	309.72	2	4	4	168	0	0	1
315.23	0.75	362	313.23	2	4	1	112	1	0.51417	1
318.27	0.75	363	316.26	2	4	2	308	0	0	1
321.53	0.75	364	319.52	2	4	5	207	0	0	1
325.54	0.75	365	323.53	2	4	6	244	0	0	1
328.56	0.75	366	326.56	2	4	5	209	0	0	1
332.32	0.75	367	330.32	2	4	3	234	0	0	1
335.58	0.75	368	333.58	2	4	4	162	1	0.47786	1
339.62	0.75	369	337.61	2	4	1	107	0	0	1
343.63	0.75	370	341.62	2	4	2	302	0	0	1
347.39	0.75	371	345.38	2	4	6	242	0	0	1
351.4	0.75	372	349.39	2	4	3	228	0	0	1
354.66	0.75	373	352.65	2	4	2	301	0	0	1
358.17	0.75	374	356.16	2	4	5	191	1	0.43527	1
361.95	0.75	375	359.94	2	4	1	111	0	0	1
365.72	0.75	376	363.72	2	4	6	241	0	0	1
