onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0132	0.75	283	4.0037	2	4	2	302	0	0	1
10.02	0.75	284	8.0151	2	4	3	236	0	0	1
13.782	0.75	285	11.777	2	4	4	184	1	0.36939	1
17.582	0.75	286	15.577	2	4	6	244	0	0	1
21.345	0.75	287	19.34	2	4	5	209	0	0	1
24.351	0.75	288	22.346	2	4	4	177	0	0	1
27.362	0.75	289	25.355	2	4	2	307	0	0	1
30.618	0.75	290	28.611	2	4	1	114	0	0	1
34.373	0.75	291	32.368	2	4	4	162	1	0.37552	1
37.904	0.75	292	35.899	2	4	5	205	0	0	1
41.918	0.75	293	39.912	2	4	1	111	0	0	1
45.925	0.75	294	43.921	2	4	6	242	0	0	1
49.438	0.75	295	47.431	2	4	3	233	0	0	1
53.462	0.75	296	51.454	2	4	1	112	0	0	1
56.716	0.75	297	54.711	2	4	5	193	1	0	0
59.977	0.75	298	57.97	2	4	1	107	0	0	1
62.981	0.75	299	60.975	2	4	2	308	0	0	1
66.486	0.75	300	64.481	2	4	6	243	0	0	1
70.247	0.75	301	68.24	2	4	2	301	0	0	1
73.501	0.75	302	71.496	2	4	3	234	0	0	1
76.51	0.75	303	74.505	2	4	6	245	0	0	1
79.774	0.75	304	77.765	2	4	4	164	0	0	1
83.53	0.75	305	81.525	2	4	5	207	0	0	1
87.051	0.75	306	85.045	2	4	3	228	0	0	1
90.059	0.75	307	88.05	2	4	1	111	1	0.4265	1
93.348	0.75	308	91.341	2	4	2	305	0	0	1
97.106	0.75	309	95.101	2	4	5	207	0	0	1
100.87	0.75	310	98.861	2	4	6	243	0	0	1
104.12	0.75	311	102.12	2	4	5	193	0	0	1
107.88	0.75	312	105.88	2	4	2	304	0	0	1
111.64	0.75	313	109.63	2	4	1	116	0	0	1
114.65	0.75	314	112.64	2	4	2	307	0	0	1
118.4	0.75	315	116.4	2	4	3	233	0	0	1
121.67	0.75	316	119.67	2	4	5	191	0	0	1
124.68	0.75	317	122.68	2	4	3	234	0	0	1
127.69	0.75	318	125.68	2	4	6	244	1	0	0
133.47	0.75	319	131.45	2	4	1	107	0	0	1
137.22	0.75	320	135.21	2	4	2	308	0	0	1
141.23	0.75	321	139.22	2	4	4	184	0	0	1
144.98	0.75	322	142.98	2	4	3	226	0	0	1
148.75	0.75	323	146.74	2	4	1	119	0	0	1
151.75	0.75	324	149.74	2	4	4	177	0	0	1
155.51	0.75	325	153.5	2	4	5	205	0	0	1
158.53	0.75	326	156.53	2	4	4	162	0	0	1
162.54	0.75	327	160.54	2	4	3	228	0	0	1
165.55	0.75	328	163.55	2	4	4	168	1	0.42783	1
168.59	0.75	329	166.58	2	4	6	242	0	0	1
171.6	0.75	330	169.59	2	4	2	302	1	0.4586	1
209.98	0.75	331	207.97	2	4	6	241	0	0	1
213.24	0.75	332	211.23	2	4	3	233	0	0	1
217.25	0.75	333	215.24	2	4	1	116	0	0	1
220.26	0.75	334	218.25	2	4	4	164	0	0	1
223.26	0.75	335	221.26	2	4	2	301	1	0.51444	1
226.56	0.75	336	224.56	2	4	5	209	0	0	1
230.08	0.75	337	228.07	2	4	6	243	1	0.36821	1
234.11	0.75	338	232.11	2	4	4	184	0	0	1
237.62	0.75	339	235.61	2	4	5	193	0	0	1
241.38	0.75	340	239.38	2	4	1	114	0	0	1
244.39	0.75	341	242.38	2	4	2	304	0	0	1
248.15	0.75	342	246.14	2	4	6	245	0	0	1
251.4	0.75	343	249.4	2	4	5	191	0	0	1
255.41	0.75	344	253.41	2	4	3	228	0	0	1
258.92	0.75	345	256.91	2	4	1	119	0	0	1
262.69	0.75	346	260.69	2	4	6	241	0	0	1
266.7	0.75	347	264.7	2	4	3	236	1	0.52541	1
269.99	0.75	348	267.99	2	4	5	205	0	0	1
274	0.75	349	272	2	4	6	245	0	0	1
277.76	0.75	350	275.75	2	4	2	305	0	0	1
281.27	0.75	351	279.26	2	4	4	168	0	0	1
284.53	0.75	352	282.52	2	4	3	226	1	0.74722	1
288.29	0.75	353	286.28	2	4	1	112	0	0	1
291.54	0.75	354	289.54	2	4	4	177	0	0	1
294.55	0.75	355	292.55	2	4	3	236	0	0	1
297.82	0.75	356	295.82	2	4	6	242	1	0.51605	1
301.11	0.75	357	299.1	2	4	2	307	0	0	1
304.87	0.75	358	302.87	2	4	4	164	0	0	1
307.88	0.75	359	305.87	2	4	3	226	0	0	1
311.63	0.75	360	309.63	2	4	5	193	0	0	1
315.4	0.75	361	313.39	2	4	4	168	0	0	1
318.91	0.75	362	316.9	2	4	1	112	1	0.41012	1
321.94	0.75	363	319.94	2	4	2	308	0	0	1
325.2	0.75	364	323.19	2	4	5	207	0	0	1
329.21	0.75	365	327.21	2	4	6	244	0	0	1
332.23	0.75	366	330.23	2	4	5	209	0	0	1
335.99	0.75	367	333.98	2	4	3	234	0	0	1
339.25	0.75	368	337.24	2	4	4	162	1	0.5578	1
343.29	0.75	369	341.28	2	4	1	107	0	0	1
347.29	0.75	370	345.28	2	4	2	302	0	0	1
351.04	0.75	371	349.04	2	4	6	242	0	0	1
355.05	0.75	372	353.04	2	4	3	228	0	0	1
358.31	0.75	373	356.3	2	4	2	301	0	0	1
361.82	0.75	374	359.81	2	4	5	191	1	0.36943	1
365.6	0.75	375	363.6	2	4	1	111	0	0	1
369.38	0.75	376	367.37	2	4	6	241	0	0	1
