onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0132	0.75	283	4.0039	2	4	2	302	0	0	1
10.019	0.75	284	8.0142	2	4	3	236	0	0	1
13.781	0.75	285	11.776	2	4	4	184	1	0.52139	1
17.578	0.75	286	15.572	2	4	6	244	0	0	1
21.336	0.75	287	19.331	2	4	5	209	0	0	1
24.346	0.75	288	22.341	2	4	4	177	0	0	1
27.357	0.75	289	25.349	2	4	2	307	0	0	1
30.612	0.75	290	28.605	2	4	1	114	0	0	1
34.368	0.75	291	32.363	2	4	4	162	1	0.50329	1
37.904	0.75	292	35.9	2	4	5	205	0	0	1
41.917	0.75	293	39.91	2	4	1	111	0	0	1
45.921	0.75	294	43.917	2	4	6	242	0	0	1
49.432	0.75	295	47.426	2	4	3	233	0	0	1
53.454	0.75	296	51.447	2	4	1	112	0	0	1
56.709	0.75	297	54.704	2	4	5	193	1	0.53591	1
59.997	0.75	298	57.99	2	4	1	107	0	0	1
63.006	0.75	299	60.999	2	4	2	308	0	0	1
66.51	0.75	300	64.506	2	4	6	243	0	0	1
70.273	0.75	301	68.266	2	4	2	301	0	0	1
73.527	0.75	302	71.522	2	4	3	234	0	0	1
76.535	0.75	303	74.53	2	4	6	245	0	0	1
79.797	0.75	304	77.79	2	4	4	164	0	0	1
83.552	0.75	305	81.547	2	4	5	207	0	0	1
87.073	0.75	306	85.068	2	4	3	228	0	0	1
90.085	0.75	307	88.077	2	4	1	111	1	0.52975	1
93.369	0.75	308	91.362	2	4	2	305	0	0	1
97.125	0.75	309	95.12	2	4	5	207	0	0	1
100.88	0.75	310	98.88	2	4	6	243	0	0	1
104.14	0.75	311	102.14	2	4	5	193	0	0	1
107.91	0.75	312	105.9	2	4	2	304	0	0	1
111.66	0.75	313	109.66	2	4	1	116	0	0	1
114.68	0.75	314	112.67	2	4	2	307	0	0	1
118.44	0.75	315	116.43	2	4	3	233	0	0	1
121.71	0.75	316	119.7	2	4	5	191	0	0	1
124.72	0.75	317	122.71	2	4	3	234	0	0	1
127.73	0.75	318	125.72	2	4	6	244	1	0.46319	1
131.51	0.75	319	129.5	2	4	1	107	0	0	1
135.27	0.75	320	133.26	2	4	2	308	0	0	1
139.28	0.75	321	137.27	2	4	4	184	0	0	1
143.03	0.75	322	141.03	2	4	3	226	0	0	1
146.79	0.75	323	144.79	2	4	1	119	0	0	1
149.8	0.75	324	147.79	2	4	4	177	0	0	1
153.56	0.75	325	151.55	2	4	5	205	0	0	1
156.58	0.75	326	154.57	2	4	4	162	0	0	1
160.59	0.75	327	158.59	2	4	3	228	0	0	1
163.6	0.75	328	161.6	2	4	4	168	1	0.59053	1
166.63	0.75	329	164.63	2	4	6	242	0	0	1
169.64	0.75	330	167.63	2	4	2	302	1	0.56856	1
206.65	0.75	331	204.64	2	4	6	241	0	0	1
209.91	0.75	332	207.9	2	4	3	233	0	0	1
213.93	0.75	333	211.92	2	4	1	116	0	0	1
216.93	0.75	334	214.92	2	4	4	164	0	0	1
219.94	0.75	335	217.93	2	4	2	301	1	0.78817	1
223.23	0.75	336	221.22	2	4	5	209	0	0	1
226.74	0.75	337	224.73	2	4	6	243	1	0.52736	1
230.77	0.75	338	228.76	2	4	4	184	0	0	1
234.28	0.75	339	232.27	2	4	5	193	0	0	1
238.04	0.75	340	236.03	2	4	1	114	0	0	1
241.04	0.75	341	239.04	2	4	2	304	0	0	1
244.8	0.75	342	242.8	2	4	6	245	0	0	1
248.06	0.75	343	246.05	2	4	5	191	0	0	1
252.07	0.75	344	250.06	2	4	3	228	0	0	1
255.58	0.75	345	253.57	2	4	1	119	0	0	1
259.35	0.75	346	257.35	2	4	6	241	0	0	1
263.36	0.75	347	261.36	2	4	3	236	1	0.35741	1
266.65	0.75	348	264.64	2	4	5	205	0	0	1
270.65	0.75	349	268.65	2	4	6	245	0	0	1
274.42	0.75	350	272.41	2	4	2	305	0	0	1
277.92	0.75	351	275.92	2	4	4	168	0	0	1
281.18	0.75	352	279.18	2	4	3	226	1	0.50401	1
284.97	0.75	353	282.96	2	4	1	112	0	0	1
288.22	0.75	354	286.22	2	4	4	177	0	0	1
291.23	0.75	355	289.23	2	4	3	236	0	0	1
294.51	0.75	356	292.5	2	4	6	242	1	0.56832	1
297.79	0.75	357	295.79	2	4	2	307	0	0	1
301.55	0.75	358	299.55	2	4	4	164	0	0	1
304.56	0.75	359	302.55	2	4	3	226	0	0	1
308.32	0.75	360	306.31	2	4	5	193	0	0	1
312.08	0.75	361	310.07	2	4	4	168	0	0	1
315.59	0.75	362	313.58	2	4	1	112	1	0.53067	1
318.63	0.75	363	316.62	2	4	2	308	0	0	1
321.88	0.75	364	319.88	2	4	5	207	0	0	1
325.9	0.75	365	323.89	2	4	6	244	0	0	1
328.92	0.75	366	326.91	2	4	5	209	0	0	1
332.68	0.75	367	330.67	2	4	3	234	0	0	1
335.93	0.75	368	333.93	2	4	4	162	1	0.47781	1
339.97	0.75	369	337.96	2	4	1	107	0	0	1
343.97	0.75	370	341.97	2	4	2	302	0	0	1
347.73	0.75	371	345.73	2	4	6	242	0	0	1
351.74	0.75	372	349.73	2	4	3	228	0	0	1
355	0.75	373	352.99	2	4	2	301	0	0	1
358.51	0.75	374	356.5	2	4	5	191	1	0.49924	1
362.29	0.75	375	360.28	2	4	1	111	0	0	1
366.06	0.75	376	364.06	2	4	6	241	0	0	1
