onset	duration	trial	onsetsprobeapprox	block	episode	stimcue	stimprobe	categorycue	categoryprobe	episodeprobe	positioncue	positionprobe	probecorrect	afterbefore	choicetimelimit	choiceresp	choicekey	choicert	accurate	confresponse	confkey	confrt
8.0698	5.5	1	n/a	1	1	112	n/a	1	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
18.173	5.5	2	n/a	1	3	242	n/a	6	n/a	n/a	3	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.007	5.5	3	n/a	1	4	302	n/a	2	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
38.868	5.5	4	n/a	1	2	207	n/a	5	n/a	n/a	4	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49.275	5.5	5	n/a	1	3	111	n/a	1	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
59.147	5.5	6	n/a	1	5	304	n/a	2	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
68.496	5.5	7	n/a	1	2	236	n/a	3	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
78.655	5.5	8	n/a	1	3	301	n/a	2	n/a	n/a	4	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
87.963	5.5	9	n/a	1	1	205	n/a	5	n/a	n/a	3	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
99.255	5.5	10	n/a	1	2	241	n/a	6	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
108.75	5.5	11	n/a	1	7	164	n/a	4	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
123.36	5.5	12	n/a	1	3	436	n/a	7	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
132.81	5.5	13	n/a	1	2	437	n/a	7	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
143.13	5.5	14	n/a	1	4	244	n/a	6	n/a	n/a	3	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
152.17	5.5	15	n/a	1	1	431	n/a	7	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
162.89	5.5	16	n/a	1	5	462	n/a	8	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
174.19	5.5	17	n/a	1	7	243	n/a	6	n/a	n/a	3	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
184.31	5.5	18	n/a	1	1	308	n/a	2	n/a	n/a	2	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
193.58	5.5	19	n/a	1	6	464	n/a	8	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
203.3	5.5	20	n/a	1	7	465	n/a	8	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
213.42	5.5	21	n/a	1	2	207	n/a	5	n/a	n/a	4	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
226.48	5.5	22	n/a	1	5	304	n/a	2	n/a	n/a	2	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
269.81	5.5	23	n/a	1	1	112	n/a	1	n/a	n/a	1	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
279.6	5.5	24	n/a	1	8	184	n/a	4	n/a	n/a	1	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
290.11	5.5	25	n/a	1	2	236	n/a	3	n/a	n/a	2	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
299.78	5.5	26	n/a	1	4	226	n/a	3	n/a	n/a	2	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
309.17	5.5	27	n/a	1	1	308	n/a	2	n/a	n/a	2	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
319.6	5.5	28	n/a	1	3	301	n/a	2	n/a	n/a	4	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
329.45	5.5	29	n/a	1	2	116	n/a	1	n/a	n/a	3	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
339.85	5.5	30	n/a	1	7	307	n/a	2	n/a	n/a	1	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
349.24	5.5	31	n/a	1	6	233	n/a	3	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
358.66	5.5	32	n/a	1	8	119	n/a	1	n/a	n/a	3	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
371.15	5.5	33	n/a	1	2	241	n/a	6	n/a	n/a	1	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
380.01	5.5	34	n/a	1	5	168	n/a	4	n/a	n/a	4	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
389.17	5.5	35	n/a	1	4	433	n/a	7	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
398.74	5.5	36	n/a	1	8	119	n/a	1	n/a	n/a	3	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
408.92	5.5	37	n/a	1	5	107	n/a	1	n/a	n/a	3	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
417.34	5.5	38	n/a	1	7	243	n/a	6	n/a	n/a	3	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
427.15	5.5	39	n/a	1	4	226	n/a	3	n/a	n/a	2	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
436.94	5.5	40	n/a	1	1	431	n/a	7	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
446.24	5.5	41	n/a	1	6	191	n/a	5	n/a	n/a	3	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
456.14	5.5	42	n/a	1	5	462	n/a	8	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
465.42	5.5	43	n/a	1	1	205	n/a	5	n/a	n/a	3	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	1	13.57	1	1	n/a	433	n/a	7	4	n/a	5	0	1	2	0	2	1.312	1	1	1	0.99093
n/a	n/a	2	23.673	1	3	n/a	207	n/a	5	2	n/a	4	0	1	2	0	0	n/a	n/a	n/a	0	n/a
n/a	n/a	3	34.507	1	4	n/a	431	n/a	7	1	n/a	5	0	1	2	0	2	1.2072	1	0	1	1.3402
n/a	n/a	4	44.368	1	2	n/a	437	n/a	7	2	n/a	5	1	1	2	1	2	1.5074	1	0	2	1.0839
n/a	n/a	5	54.775	1	3	n/a	205	n/a	5	1	n/a	3	0	1	2	0	1	1.5174	1	1	1	1.5529
n/a	n/a	6	64.647	1	5	n/a	307	n/a	2	7	n/a	1	0	1	2	0	2	1.8004	1	1	1	0.73555
n/a	n/a	7	73.996	1	2	n/a	111	n/a	1	3	n/a	2	0	1	2	0	2	1.5351	1	1	1	0.82103
n/a	n/a	8	84.155	1	3	n/a	242	n/a	6	3	n/a	3	0	1	2	0	2	1.7506	1	1	1	0.74472
n/a	n/a	9	93.463	1	1	n/a	112	n/a	1	1	n/a	1	0	1	2	0	0	n/a	n/a	n/a	0	n/a
n/a	n/a	10	104.76	1	2	n/a	233	n/a	3	6	n/a	1	0	1	2	1	2	1.1961	0	0	1	0.99472
n/a	n/a	11	114.25	1	7	n/a	112	n/a	1	1	n/a	1	0	1	2	0	2	1.2416	1	1	1	0.78369
n/a	n/a	12	128.86	1	3	n/a	242	n/a	6	3	n/a	3	1	-1	2	1	2	1.3248	1	1	1	1.3192
n/a	n/a	13	138.31	1	2	n/a	116	n/a	1	2	n/a	3	1	-1	2	0	1	1.7749	0	1	1	0.73974
n/a	n/a	14	148.63	1	4	n/a	433	n/a	7	4	n/a	5	0	-1	2	0	2	1.2732	1	1	1	0.96314
n/a	n/a	15	157.67	1	1	n/a	112	n/a	1	1	n/a	1	1	-1	2	0	1	1.9621	0	0	2	0.9517
n/a	n/a	16	168.39	1	5	n/a	209	n/a	5	5	n/a	1	1	-1	2	0	0	n/a	n/a	n/a	0	n/a
n/a	n/a	17	179.69	1	7	n/a	465	n/a	8	7	n/a	5	0	-1	2	0	1	1.5897	1	1	1	1.2348
n/a	n/a	18	189.81	1	1	n/a	236	n/a	3	2	n/a	2	0	-1	2.25	1	2	1.1766	0	0	1	0.76038
n/a	n/a	19	199.08	1	6	n/a	107	n/a	1	5	n/a	3	0	-1	2.5	0	2	1.833	1	0	1	1.0882
n/a	n/a	20	208.8	1	7	n/a	228	n/a	3	8	n/a	4	0	-1	2.75	0	1	1.4134	1	0	2	0.90123
n/a	n/a	21	218.92	1	2	n/a	162	n/a	4	3	n/a	1	0	-1	3	0	1	1.7057	1	0	1	0.85474
n/a	n/a	22	231.98	1	5	n/a	107	n/a	1	5	n/a	3	1	1	3	1	2	1.4665	1	0	2	1.6346
n/a	n/a	23	275.31	1	1	n/a	431	n/a	7	1	n/a	5	1	1	3	0	2	1.9269	0	0	2	1.0464
n/a	n/a	24	285.1	1	8	n/a	305	n/a	2	8	n/a	2	1	1	3	1	1	1.0546	1	0	2	1.6566
n/a	n/a	25	295.61	1	2	n/a	437	n/a	7	2	n/a	5	1	1	3	1	2	1.0265	1	0	2	0.83866
n/a	n/a	26	305.28	1	4	n/a	244	n/a	6	4	n/a	3	1	1	3	0	1	1.711	0	0	1	0.8781
n/a	n/a	27	314.67	1	1	n/a	234	n/a	3	1	n/a	4	1	1	3	1	1	1.8432	1	0	2	1.2763
n/a	n/a	28	325.1	1	3	n/a	436	n/a	7	3	n/a	5	1	1	3	1	2	1.2207	1	1	1	0.82204
n/a	n/a	29	334.95	1	2	n/a	207	n/a	5	2	n/a	4	1	1	3	0	2	1.2675	0	1	1	1.3238
n/a	n/a	30	345.35	1	7	n/a	114	n/a	1	7	n/a	4	1	1	2.75	1	2	1.1284	1	0	1	0.96298
n/a	n/a	31	354.74	1	6	n/a	164	n/a	4	7	n/a	2	0	1	2.5	0	1	0.92302	1	1	2	0.69048
n/a	n/a	32	364.16	1	8	n/a	243	n/a	6	7	n/a	3	0	1	2.25	0	1	1.3141	1	1	2	0.6907
n/a	n/a	33	376.65	1	2	n/a	193	n/a	5	4	n/a	4	0	-1	2	0	2	1.1776	1	0	1	0.87087
n/a	n/a	34	385.51	1	5	n/a	233	n/a	3	6	n/a	1	0	-1	1.75	0	2	1.2514	1	1	1	0.59176
n/a	n/a	35	394.67	1	4	n/a	241	n/a	6	2	n/a	1	0	-1	1.5	0	1	1.5816	1	0	1	0.69179
n/a	n/a	36	404.24	1	8	n/a	209	n/a	5	5	n/a	1	0	-1	1.25	0	1	1.3713	1	1	1	1.0043
n/a	n/a	37	414.42	1	5	n/a	164	n/a	4	7	n/a	2	0	-1	1	0	1	0.96983	1	1	1	0.64911
n/a	n/a	38	422.84	1	7	n/a	191	n/a	5	6	n/a	3	0	-1	1	0	0	n/a	n/a	n/a	0	n/a
n/a	n/a	39	432.65	1	4	n/a	302	n/a	2	4	n/a	1	1	-1	1	0	0	n/a	n/a	n/a	0	n/a
n/a	n/a	40	442.44	1	1	n/a	112	n/a	1	1	n/a	1	1	-1	1	1	2	0.2741	1	0	2	1.2201
n/a	n/a	41	451.74	1	6	n/a	233	n/a	3	6	n/a	1	1	-1	1	0	1	0.91934	0	0	1	1.1828
n/a	n/a	42	461.64	1	5	n/a	107	n/a	1	5	n/a	3	1	-1	1	0	1	0.79142	0	0	2	1.6746
n/a	n/a	43	470.92	1	1	n/a	112	n/a	1	1	n/a	1	1	-1	1	1	2	0.99489	1	1	2	0.93091
