onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0133	0.75	283	4.0036	2	4	2	302	0	0	1
10.016	0.75	284	8.0109	2	4	3	236	0	0	1
13.777	0.75	285	11.772	2	4	4	184	1	0.38948	1
17.579	0.75	286	15.573	2	4	6	244	0	0	1
21.336	0.75	287	19.331	2	4	5	209	0	0	1
24.345	0.75	288	22.341	2	4	4	177	0	0	1
27.355	0.75	289	25.348	2	4	2	307	0	0	1
30.614	0.75	290	28.607	2	4	1	114	0	0	1
34.372	0.75	291	32.367	2	4	4	162	1	0.44158	1
37.91	0.75	292	35.904	2	4	5	205	0	0	1
41.924	0.75	293	39.916	2	4	1	111	0	0	1
45.932	0.75	294	43.926	2	4	6	242	0	0	1
49.444	0.75	295	47.436	2	4	3	233	0	0	1
53.47	0.75	296	51.463	2	4	1	112	0	0	1
56.725	0.75	297	54.72	2	4	5	193	1	0.35184	1
60.01	0.75	298	58.002	2	4	1	107	0	0	1
63.015	0.75	299	61.008	2	4	2	308	0	0	1
66.52	0.75	300	64.515	2	4	6	243	0	0	1
70.282	0.75	301	68.275	2	4	2	301	0	0	1
73.539	0.75	302	71.534	2	4	3	234	0	0	1
76.547	0.75	303	74.542	2	4	6	245	0	0	1
79.805	0.75	304	77.798	2	4	4	164	0	0	1
83.56	0.75	305	81.556	2	4	5	207	0	0	1
87.084	0.75	306	85.079	2	4	3	228	0	0	1
90.091	0.75	307	88.084	2	4	1	111	1	0.45259	1
93.379	0.75	308	91.373	2	4	2	305	0	0	1
97.138	0.75	309	95.133	2	4	5	207	0	0	1
100.9	0.75	310	98.89	2	4	6	243	0	0	1
104.15	0.75	311	102.15	2	4	5	193	0	0	1
107.92	0.75	312	105.91	2	4	2	304	0	0	1
111.67	0.75	313	109.67	2	4	1	116	0	0	1
114.68	0.75	314	112.67	2	4	2	307	0	0	1
118.44	0.75	315	116.43	2	4	3	233	0	0	1
121.71	0.75	316	119.7	2	4	5	191	0	0	1
124.71	0.75	317	122.71	2	4	3	234	0	0	1
127.72	0.75	318	125.72	2	4	6	244	1	0.49999	1
131.51	0.75	319	129.5	2	4	1	107	0	0	1
135.26	0.75	320	133.26	2	4	2	308	0	0	1
139.27	0.75	321	137.27	2	4	4	184	0	0	1
143.03	0.75	322	141.03	2	4	3	226	0	0	1
146.8	0.75	323	144.79	2	4	1	119	0	0	1
149.8	0.75	324	147.79	2	4	4	177	0	0	1
153.56	0.75	325	151.55	2	4	5	205	0	0	1
156.58	0.75	326	154.57	2	4	4	162	0	0	1
160.59	0.75	327	158.58	2	4	3	228	0	0	1
163.59	0.75	328	161.59	2	4	4	168	1	0.4631	1
166.63	0.75	329	164.62	2	4	6	242	0	0	1
169.64	0.75	330	167.63	2	4	2	302	1	0.5615	1
206.52	0.75	331	204.51	2	4	6	241	0	0	1
209.77	0.75	332	207.77	2	4	3	233	0	0	1
213.78	0.75	333	211.78	2	4	1	116	0	0	1
216.79	0.75	334	214.78	2	4	4	164	0	0	1
219.79	0.75	335	217.79	2	4	2	301	1	0.71583	1
223.09	0.75	336	221.08	2	4	5	209	0	0	1
226.6	0.75	337	224.59	2	4	6	243	1	0.44169	1
230.63	0.75	338	228.62	2	4	4	184	0	0	1
234.14	0.75	339	232.13	2	4	5	193	0	0	1
237.9	0.75	340	235.89	2	4	1	114	0	0	1
240.91	0.75	341	238.9	2	4	2	304	0	0	1
244.66	0.75	342	242.66	2	4	6	245	0	0	1
247.92	0.75	343	245.92	2	4	5	191	0	0	1
251.93	0.75	344	249.93	2	4	3	228	0	0	1
255.44	0.75	345	253.44	2	4	1	119	0	0	1
259.22	0.75	346	257.21	2	4	6	241	0	0	1
263.23	0.75	347	261.22	2	4	3	236	1	0.41068	1
266.51	0.75	348	264.51	2	4	5	205	0	0	1
270.52	0.75	349	268.52	2	4	6	245	0	0	1
274.29	0.75	350	272.28	2	4	2	305	0	0	1
277.79	0.75	351	275.79	2	4	4	168	0	0	1
281.05	0.75	352	279.04	2	4	3	226	1	0.37988	1
284.84	0.75	353	282.83	2	4	1	112	0	0	1
288.09	0.75	354	286.09	2	4	4	177	0	0	1
291.1	0.75	355	289.09	2	4	3	236	0	0	1
294.37	0.75	356	292.37	2	4	6	242	1	0.49798	1
297.66	0.75	357	295.65	2	4	2	307	0	0	1
301.42	0.75	358	299.41	2	4	4	164	0	0	1
304.42	0.75	359	302.42	2	4	3	226	0	0	1
308.18	0.75	360	306.18	2	4	5	193	0	0	1
311.94	0.75	361	309.94	2	4	4	168	0	0	1
315.46	0.75	362	313.45	2	4	1	112	1	0.3797	1
318.49	0.75	363	316.49	2	4	2	308	0	0	1
321.75	0.75	364	319.74	2	4	5	207	0	0	1
325.76	0.75	365	323.75	2	4	6	244	0	0	1
328.79	0.75	366	326.78	2	4	5	209	0	0	1
332.55	0.75	367	330.54	2	4	3	234	0	0	1
335.8	0.75	368	333.8	2	4	4	162	1	0.42986	1
339.84	0.75	369	337.84	2	4	1	107	0	0	1
343.85	0.75	370	341.84	2	4	2	302	0	0	1
347.61	0.75	371	345.61	2	4	6	242	0	0	1
351.61	0.75	372	349.61	2	4	3	228	0	0	1
354.87	0.75	373	352.87	2	4	2	301	0	0	1
358.38	0.75	374	356.37	2	4	5	191	1	0.45848	1
362.17	0.75	375	360.16	2	4	1	111	0	0	1
365.94	0.75	376	363.93	2	4	6	241	0	0	1
