onset	duration	trial	onsetsprobeapprox	block	episode	stimcue	stimprobe	categorycue	categoryprobe	episodeprobe	positioncue	positionprobe	probecorrect	afterbefore	choicetimelimit	choiceresp	choicekey	choicert	accurate	confresponse	confkey	confrt
7.7394	5.5	44	n/a	2	2	191	n/a	5	n/a	n/a	3	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.833	5.5	45	n/a	2	8	193	n/a	5	n/a	n/a	4	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
26.601	5.5	46	n/a	2	3	307	n/a	2	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
36.452	5.5	47	n/a	2	2	245	n/a	6	n/a	n/a	4	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
45.634	5.5	48	n/a	2	6	116	n/a	1	n/a	n/a	3	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
54.519	5.5	49	n/a	2	3	307	n/a	2	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
63.202	5.5	50	n/a	2	5	112	n/a	1	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
73.034	5.5	51	n/a	2	6	236	n/a	3	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
81.198	5.5	52	n/a	2	8	302	n/a	2	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
90.843	5.5	53	n/a	2	7	111	n/a	1	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
99.436	5.5	54	n/a	2	4	184	n/a	4	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
108.69	5.5	55	n/a	2	3	307	n/a	2	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
122.78	5.5	56	n/a	2	5	234	n/a	3	n/a	n/a	4	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
133.08	5.5	57	n/a	2	2	437	n/a	7	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
141.2	5.5	58	n/a	2	1	436	n/a	7	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
150.1	5.5	59	n/a	2	4	433	n/a	7	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
160.13	5.5	60	n/a	2	2	191	n/a	5	n/a	n/a	3	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
169.63	5.5	61	n/a	2	3	431	n/a	7	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
178.43	5.5	62	n/a	2	7	465	n/a	8	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
187.87	5.5	63	n/a	2	2	437	n/a	7	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
198.18	5.5	64	n/a	2	1	436	n/a	7	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
240.86	5.5	65	n/a	2	7	465	n/a	8	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
254.46	5.5	66	n/a	2	6	207	n/a	5	n/a	n/a	4	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
263.76	5.5	67	n/a	2	4	184	n/a	4	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
273.69	5.5	68	n/a	2	3	164	n/a	4	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
281.72	5.5	69	n/a	2	6	236	n/a	3	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
290.37	5.5	70	n/a	2	4	119	n/a	1	n/a	n/a	3	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
298.79	5.5	71	n/a	2	3	243	n/a	6	n/a	n/a	3	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
307.36	5.5	72	n/a	2	7	162	n/a	4	n/a	n/a	1	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
316.33	5.5	73	n/a	2	8	302	n/a	2	n/a	n/a	1	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
324.84	5.5	74	n/a	2	6	241	n/a	6	n/a	n/a	1	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
333.74	5.5	75	n/a	2	7	111	n/a	1	n/a	n/a	2	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
343.05	5.5	76	n/a	2	8	193	n/a	5	n/a	n/a	4	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
355.79	5.5	77	n/a	2	4	433	n/a	7	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
365.5	5.5	78	n/a	2	1	107	n/a	1	n/a	n/a	3	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
374.07	5.5	79	n/a	2	7	301	n/a	2	n/a	n/a	4	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
383.93	5.5	80	n/a	2	5	234	n/a	3	n/a	n/a	4	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
