onset	duration	trial	onsetsprobeapprox	block	episode	stimcue	stimprobe	categorycue	categoryprobe	episodeprobe	positioncue	positionprobe	probecorrect	afterbefore	choicetimelimit	choiceresp	choicekey	choicert	accurate	confresponse	confkey	confrt
6.9501	5.5	173	n/a	5	5	308	n/a	2	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
16.28	5.5	174	n/a	5	8	302	n/a	2	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
24.609	5.5	175	n/a	5	4	305	n/a	2	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
33.551	5.5	176	n/a	5	5	308	n/a	2	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
43.067	5.5	177	n/a	5	3	164	n/a	4	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
52.326	5.5	178	n/a	5	7	301	n/a	2	n/a	n/a	4	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
61.7	5.5	179	n/a	5	5	112	n/a	1	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
70.425	5.5	180	n/a	5	2	233	n/a	3	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
79.168	5.5	181	n/a	5	7	242	n/a	6	n/a	n/a	3	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
87.101	5.5	182	n/a	5	5	234	n/a	3	n/a	n/a	4	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
98.608	5.5	183	n/a	5	6	116	n/a	1	n/a	n/a	3	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
107.54	5.5	184	n/a	5	7	465	n/a	8	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
116.72	5.5	185	n/a	5	2	245	n/a	6	n/a	n/a	4	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
125.47	5.5	186	n/a	5	4	305	n/a	2	n/a	n/a	2	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
135.78	5.5	187	n/a	5	6	466	n/a	8	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
143.89	5.5	188	n/a	5	1	304	n/a	2	n/a	n/a	2	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
154.39	5.5	189	n/a	5	7	465	n/a	8	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
163.5	5.5	190	n/a	5	2	177	n/a	4	n/a	n/a	2	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
207.93	5.5	191	n/a	5	6	466	n/a	8	n/a	n/a	5	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
217.06	5.5	192	n/a	5	8	193	n/a	5	n/a	n/a	4	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
225.97	5.5	193	n/a	5	2	177	n/a	4	n/a	n/a	2	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
237.98	5.5	194	n/a	5	6	236	n/a	3	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
246.02	5.5	195	n/a	5	4	305	n/a	2	n/a	n/a	2	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
254.48	5.5	196	n/a	5	3	307	n/a	2	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
263.42	5.5	197	n/a	5	6	207	n/a	5	n/a	n/a	4	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
273.71	5.5	198	n/a	5	8	302	n/a	2	n/a	n/a	1	n/a	0	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
281.85	5.5	199	n/a	5	7	242	n/a	6	n/a	n/a	3	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
290.87	5.5	200	n/a	5	4	119	n/a	1	n/a	n/a	3	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
299.19	5.5	201	n/a	5	1	209	n/a	5	n/a	n/a	1	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
309.5	5.5	202	n/a	5	6	241	n/a	6	n/a	n/a	1	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
318.35	5.5	203	n/a	5	2	177	n/a	4	n/a	n/a	2	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
328	5.5	204	n/a	5	5	234	n/a	3	n/a	n/a	4	n/a	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
340.77	5.5	205	n/a	5	7	111	n/a	1	n/a	n/a	2	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
350.14	5.5	206	n/a	5	1	168	n/a	4	n/a	n/a	4	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
358.37	5.5	207	n/a	5	2	437	n/a	7	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
367.59	5.5	208	n/a	5	7	242	n/a	6	n/a	n/a	3	n/a	0	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
376.49	5.5	209	n/a	5	6	466	n/a	8	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
384.86	5.5	210	n/a	5	2	437	n/a	7	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
395.17	5.5	211	n/a	5	7	465	n/a	8	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
403.72	5.5	212	n/a	5	3	164	n/a	4	n/a	n/a	2	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
412.82	5.5	213	n/a	5	4	305	n/a	2	n/a	n/a	2	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
421.36	5.5	214	n/a	5	6	466	n/a	8	n/a	n/a	5	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
430.67	5.5	215	n/a	5	7	242	n/a	6	n/a	n/a	3	n/a	1	-1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
n/a	n/a	173	12.45	5	5	n/a	302	n/a	2	8	n/a	1	0	1	1.25	0	2	0.75	1	1	2	0.76969
n/a	n/a	174	21.78	5	8	n/a	465	n/a	8	7	n/a	5	0	1	1.25	1	1	0.85149	0	0	1	0.66938
n/a	n/a	175	30.109	5	4	n/a	191	n/a	5	2	n/a	3	0	1	1.25	0	2	0.63518	1	1	1	0.50347
n/a	n/a	176	39.051	5	5	n/a	466	n/a	8	6	n/a	5	0	1	1.25	0	1	0.9059	1	1	2	0.80597
n/a	n/a	177	48.567	5	3	n/a	433	n/a	7	4	n/a	5	0	1	1.25	0	1	0.93835	1	0	1	1.0194
n/a	n/a	178	57.826	5	7	n/a	462	n/a	8	8	n/a	5	0	1	1.25	0	2	0.90274	1	0	1	0.6694
n/a	n/a	179	67.2	5	5	n/a	193	n/a	5	8	n/a	4	0	1	1	0	1	0.56181	1	1	2	0.35894
n/a	n/a	180	75.925	5	2	n/a	436	n/a	7	1	n/a	5	0	1	1	0	1	0.55034	1	0	2	0.38406
n/a	n/a	181	84.668	5	7	n/a	305	n/a	2	4	n/a	2	0	1	1	0	2	0.77123	1	1	1	0.35281
n/a	n/a	182	92.601	5	5	n/a	308	n/a	2	5	n/a	2	0	1	1	0	1	0.72601	1	1	1	0.57775
n/a	n/a	183	104.11	5	6	n/a	162	n/a	4	7	n/a	1	0	-1	1	0	1	0.61373	1	1	1	0.51422
n/a	n/a	184	113.04	5	7	n/a	111	n/a	1	7	n/a	2	1	-1	1	0	2	0.73908	0	0	1	1.6361
n/a	n/a	185	122.22	5	2	n/a	437	n/a	7	2	n/a	5	0	-1	1	0	1	0.72363	1	1	1	0.72566
n/a	n/a	186	130.97	5	4	n/a	209	n/a	5	1	n/a	1	0	-1	1	0	0	n/a	n/a	n/a	0	n/a
n/a	n/a	187	141.28	5	6	n/a	205	n/a	5	5	n/a	3	0	-1	1	0	1	0.72939	1	1	2	0.58171
n/a	n/a	188	149.39	5	1	n/a	207	n/a	5	6	n/a	4	0	-1	1	1	1	0.94322	0	0	2	1.7412
n/a	n/a	189	159.89	5	7	n/a	308	n/a	2	5	n/a	2	0	-1	1	0	1	0.82997	1	1	2	1.4671
n/a	n/a	190	169	5	2	n/a	431	n/a	7	3	n/a	5	0	-1	1	0	1	0.6959	1	1	2	0.61259
n/a	n/a	191	213.43	5	6	n/a	301	n/a	2	7	n/a	4	0	-1	1	0	1	0.71259	1	1	2	0.62059
n/a	n/a	192	222.56	5	8	n/a	437	n/a	7	2	n/a	5	0	-1	1	0	1	0.77569	1	1	1	0.81685
n/a	n/a	193	231.47	5	2	n/a	168	n/a	4	1	n/a	4	0	-1	1	0	1	0.63	1	1	2	0.47743
n/a	n/a	194	243.48	5	6	n/a	308	n/a	2	5	n/a	2	0	1	1	0	2	0.70217	1	1	2	0.53719
n/a	n/a	195	251.52	5	4	n/a	243	n/a	6	3	n/a	3	0	1	1	0	2	0.96353	1	1	1	0.69245
n/a	n/a	196	259.98	5	3	n/a	107	n/a	1	1	n/a	3	0	1	1	0	2	0.82235	1	1	1	0.8172
n/a	n/a	197	268.92	5	6	n/a	116	n/a	1	6	n/a	3	0	1	1	0	1	0.80239	1	0	2	1.6833
n/a	n/a	198	279.21	5	8	n/a	308	n/a	2	5	n/a	2	0	1	1	0	2	0.66257	1	1	2	0.66015
n/a	n/a	199	287.35	5	7	n/a	301	n/a	2	7	n/a	4	1	1	1	0	2	0.72696	0	1	1	0.99492
n/a	n/a	200	296.37	5	4	n/a	228	n/a	3	4	n/a	4	1	1	1	0	2	0.72844	0	0	1	0.78588
n/a	n/a	201	304.69	5	1	n/a	107	n/a	1	1	n/a	3	1	1	1	0	0	n/a	n/a	n/a	0	n/a
n/a	n/a	202	315	5	6	n/a	466	n/a	8	6	n/a	5	1	1	1	0	2	0.84817	0	1	1	0.70299
