onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0127	0.75	1	4.0038	2	1	5	191	0	0	1
9.5223	0.75	2	7.5145	2	1	1	111	0	0	1
13.28	0.75	3	11.275	2	1	6	244	0	0	1
17.294	0.75	4	15.287	2	1	1	112	0	0	1
21.049	0.75	5	19.045	2	1	6	241	0	0	1
24.323	0.75	6	22.315	2	1	2	301	0	0	1
27.579	0.75	7	25.574	2	1	5	193	1	0.48946	1
31.111	0.75	8	29.106	2	1	6	242	0	0	1
34.115	0.75	9	32.111	2	1	4	168	0	0	1
37.128	0.75	10	35.12	2	1	2	304	1	0.58294	1
40.91	0.75	11	38.905	2	1	3	234	0	0	1
44.669	0.75	12	42.662	2	1	4	164	0	0	1
48.426	0.75	13	46.421	2	1	5	205	0	0	1
52.438	0.75	14	50.432	2	1	4	162	0	0	1
56.203	0.75	15	54.195	2	1	1	114	0	0	1
59.22	0.75	16	57.214	2	1	3	226	0	0	1
62.981	0.75	17	60.976	2	1	5	207	0	0	1
65.992	0.75	18	63.985	2	1	3	233	1	0.49955	1
69.527	0.75	19	67.52	2	1	1	107	0	0	1
73.28	0.75	20	71.275	2	1	3	228	0	0	1
77.041	0.75	21	75.034	2	1	2	304	0	0	1
80.043	0.75	22	78.039	2	1	4	177	0	0	1
84.057	0.75	23	82.05	2	1	2	305	0	0	1
88.064	0.75	24	86.059	2	1	6	243	0	0	1
91.322	0.75	25	89.318	2	1	5	205	0	0	1
94.343	0.75	26	92.338	2	1	3	228	0	0	1
98.355	0.75	27	96.351	2	1	4	184	0	0	1
101.62	0.75	28	99.612	2	1	3	236	0	0	1
104.87	0.75	29	102.87	2	1	6	243	1	0.59413	1
108.66	0.75	30	106.65	2	1	5	207	1	0.50089	1
111.69	0.75	31	109.69	2	1	1	111	0	0	1
114.7	0.75	32	112.69	2	1	6	245	0	0	1
118.46	0.75	33	116.46	2	1	2	301	0	0	1
122.47	0.75	34	120.46	2	1	5	209	0	0	1
125.47	0.75	35	123.47	2	1	6	242	0	0	1
128.74	0.75	36	126.74	2	1	4	168	1	0.56066	1
132.28	0.75	37	130.27	2	1	2	308	0	0	1
135.78	0.75	38	133.78	2	1	6	241	0	0	1
139.04	0.75	39	137.04	2	1	5	191	0	0	1
142.3	0.75	40	140.3	2	1	4	162	0	0	1
146.31	0.75	41	144.3	2	1	1	119	0	0	1
150.32	0.75	42	148.31	2	1	4	164	0	0	1
153.58	0.75	43	151.57	2	1	2	307	0	0	1
156.59	0.75	44	154.58	2	1	3	233	0	0	1
160.35	0.75	45	158.34	2	1	1	107	0	0	1
163.36	0.75	46	161.36	2	1	2	302	0	0	1
167.38	0.75	47	165.37	2	1	1	116	0	0	1
170.38	0.75	48	168.38	2	1	3	234	1	0.60944	1
207.26	0.75	49	205.25	2	1	4	164	0	0	1
211.26	0.75	50	209.26	2	1	6	244	0	0	1
215.27	0.75	51	213.26	2	1	3	226	0	0	1
219.03	0.75	52	217.02	2	1	5	207	0	0	1
222.04	0.75	53	220.03	2	1	1	112	0	0	1
225.8	0.75	54	223.79	2	1	3	226	0	0	1
228.81	0.75	55	226.8	2	1	1	116	0	0	1
232.07	0.75	56	230.07	2	1	4	162	0	0	1
235.83	0.75	57	233.82	2	1	5	191	0	0	1
239.09	0.75	58	237.08	2	1	4	177	0	0	1
242.09	0.75	59	240.09	2	1	5	193	0	0	1
246.1	0.75	60	244.1	2	1	4	184	0	0	1
249.61	0.75	61	247.61	2	1	5	209	1	0.58316	1
252.65	0.75	62	250.64	2	1	2	307	1	0.84716	1
256.15	0.75	63	254.15	2	1	3	228	0	0	1
259.41	0.75	64	257.4	2	1	2	305	0	0	1
262.42	0.75	65	260.41	2	1	1	114	0	0	1
266.19	0.75	66	264.18	2	1	2	304	0	0	1
269.44	0.75	67	267.44	2	1	3	236	1	0.53619	1
273.48	0.75	68	271.47	2	1	2	308	0	0	1
276.48	0.75	69	274.48	2	1	6	241	0	0	1
280.25	0.75	70	278.24	2	1	1	112	0	0	1
284	0.75	71	282	2	1	6	245	0	0	1
287.26	0.75	72	285.26	2	1	1	119	0	0	1
291.02	0.75	73	289.01	2	1	5	209	0	0	1
294.28	0.75	74	292.27	2	1	6	242	1	0.4853	1
297.82	0.75	75	295.81	2	1	2	305	0	0	1
301.34	0.75	76	299.33	2	1	1	114	0	0	1
304.34	0.75	77	302.34	2	1	5	193	0	0	1
307.6	0.75	78	305.59	2	1	3	233	1	0.59348	1
311.64	0.75	79	309.63	2	1	5	191	0	0	1
315.4	0.75	80	313.39	2	1	2	301	0	0	1
319.4	0.75	81	317.4	2	1	4	177	0	0	1
323.16	0.75	82	321.16	2	1	2	302	0	0	1
326.92	0.75	83	324.92	2	1	6	245	0	0	1
330.93	0.75	84	328.93	2	1	3	234	0	0	1
334.44	0.75	85	332.44	2	1	1	107	0	0	1
338.22	0.75	86	336.21	2	1	2	302	1	0.66194	1
341.25	0.75	87	339.25	2	1	5	205	0	0	1
345.01	0.75	88	343	2	1	6	244	0	0	1
348.77	0.75	89	346.76	2	1	4	184	1	0.62083	1
352.06	0.75	90	350.05	2	1	6	243	0	0	1
355.81	0.75	91	353.81	2	1	1	111	0	0	1
359.07	0.75	92	357.06	2	1	4	162	0	0	1
362.33	0.75	93	360.32	2	1	3	236	0	0	1
366.34	0.75	94	364.33	2	1	4	168	0	0	1
