onset	duration	trial	onsetsword	durationword	block	category	stimulus	tgttrial	tgtrt	tgtcorrect
6.0125	0.75	1	4.0036	2	1	5	191	0	0	1
9.5212	0.75	2	7.5125	2	1	1	111	0	0	1
13.28	0.75	3	11.275	2	1	6	244	0	0	1
17.287	0.75	4	15.278	2	1	1	112	0	0	1
21.043	0.75	5	19.037	2	1	6	241	0	0	1
24.316	0.75	6	22.308	2	1	2	301	0	0	1
27.572	0.75	7	25.567	2	1	5	193	1	0.4473	1
31.11	0.75	8	29.104	2	1	6	242	0	0	1
34.118	0.75	9	32.112	2	1	4	168	0	0	1
37.125	0.75	10	35.117	2	1	2	304	1	0.53632	1
40.906	0.75	11	38.902	2	1	3	234	0	0	1
44.67	0.75	12	42.663	2	1	4	164	0	0	1
48.425	0.75	13	46.421	2	1	5	205	0	0	1
52.437	0.75	14	50.432	2	1	4	162	0	0	1
56.196	0.75	15	54.188	2	1	1	114	0	0	1
59.208	0.75	16	57.203	2	1	3	226	0	0	1
62.969	0.75	17	60.964	2	1	5	207	0	0	1
65.98	0.75	18	63.973	2	1	3	233	1	0.44264	1
69.515	0.75	19	67.508	2	1	1	107	0	0	1
73.272	0.75	20	71.267	2	1	3	228	0	0	1
77.036	0.75	21	75.029	2	1	2	304	0	0	1
80.038	0.75	22	78.034	2	1	4	177	0	0	1
84.052	0.75	23	82.045	2	1	2	305	0	0	1
88.061	0.75	24	86.056	2	1	6	243	0	0	1
91.321	0.75	25	89.316	2	1	5	205	0	0	1
94.34	0.75	26	92.335	2	1	3	228	0	0	1
98.343	0.75	27	96.338	2	1	4	184	0	0	1
101.6	0.75	28	99.597	2	1	3	236	0	0	1
104.86	0.75	29	102.86	2	1	6	243	1	0.3844	1
108.64	0.75	30	106.64	2	1	5	207	1	0.64103	1
111.68	0.75	31	109.68	2	1	1	111	0	0	1
114.69	0.75	32	112.68	2	1	6	245	0	0	1
118.44	0.75	33	116.44	2	1	2	301	0	0	1
122.45	0.75	34	120.45	2	1	5	209	0	0	1
125.46	0.75	35	123.45	2	1	6	242	0	0	1
128.73	0.75	36	126.72	2	1	4	168	1	0.42001	1
132.27	0.75	37	130.26	2	1	2	308	0	0	1
135.77	0.75	38	133.77	2	1	6	241	0	0	1
139.03	0.75	39	137.03	2	1	5	191	0	0	1
142.29	0.75	40	140.29	2	1	4	162	0	0	1
146.31	0.75	41	144.3	2	1	1	119	0	0	1
150.31	0.75	42	148.31	2	1	4	164	0	0	1
153.57	0.75	43	151.56	2	1	2	307	0	0	1
156.57	0.75	44	154.57	2	1	3	233	0	0	1
160.33	0.75	45	158.33	2	1	1	107	0	0	1
163.35	0.75	46	161.34	2	1	2	302	0	0	1
167.36	0.75	47	165.35	2	1	1	116	0	0	1
170.36	0.75	48	168.36	2	1	3	234	1	0.36278	1
207.94	0.75	49	205.93	2	1	4	164	0	0	1
211.94	0.75	50	209.94	2	1	6	244	0	0	1
215.96	0.75	51	213.95	2	1	3	226	0	0	1
219.71	0.75	52	217.71	2	1	5	207	0	0	1
222.72	0.75	53	220.72	2	1	1	112	0	0	1
226.48	0.75	54	224.48	2	1	3	226	0	0	1
229.49	0.75	55	227.48	2	1	1	116	0	0	1
232.76	0.75	56	230.75	2	1	4	162	0	0	1
236.51	0.75	57	234.51	2	1	5	191	0	0	1
239.77	0.75	58	237.77	2	1	4	177	0	0	1
242.78	0.75	59	240.78	2	1	5	193	0	0	1
246.79	0.75	60	244.78	2	1	4	184	0	0	1
250.29	0.75	61	248.29	2	1	5	209	1	0.37352	1
253.33	0.75	62	251.32	2	1	2	307	1	0.499	1
256.87	0.75	63	254.86	2	1	3	228	0	0	1
260.12	0.75	64	258.12	2	1	2	305	0	0	1
263.13	0.75	65	261.12	2	1	1	114	0	0	1
266.9	0.75	66	264.89	2	1	2	304	0	0	1
270.15	0.75	67	268.15	2	1	3	236	1	0.54616	1
274.19	0.75	68	272.18	2	1	2	308	0	0	1
277.19	0.75	69	275.19	2	1	6	241	0	0	1
280.95	0.75	70	278.95	2	1	1	112	0	0	1
284.71	0.75	71	282.7	2	1	6	245	0	0	1
287.97	0.75	72	285.96	2	1	1	119	0	0	1
291.73	0.75	73	289.72	2	1	5	209	0	0	1
294.99	0.75	74	292.98	2	1	6	242	1	0.39495	1
298.52	0.75	75	296.51	2	1	2	305	0	0	1
302.04	0.75	76	300.03	2	1	1	114	0	0	1
305.04	0.75	77	303.04	2	1	5	193	0	0	1
308.3	0.75	78	306.3	2	1	3	233	1	0.45221	1
312.34	0.75	79	310.33	2	1	5	191	0	0	1
316.1	0.75	80	314.09	2	1	2	301	0	0	1
320.1	0.75	81	318.1	2	1	4	177	0	0	1
323.87	0.75	82	321.86	2	1	2	302	0	0	1
327.62	0.75	83	325.62	2	1	6	245	0	0	1
331.63	0.75	84	329.63	2	1	3	234	0	0	1
335.15	0.75	85	333.14	2	1	1	107	0	0	1
338.92	0.75	86	336.91	2	1	2	302	1	0.55368	1
341.95	0.75	87	339.95	2	1	5	205	0	0	1
345.72	0.75	88	343.71	2	1	6	244	0	0	1
349.48	0.75	89	347.47	2	1	4	184	1	0.38428	1
352.76	0.75	90	350.76	2	1	6	243	0	0	1
356.53	0.75	91	354.52	2	1	1	111	0	0	1
359.78	0.75	92	357.78	2	1	4	162	0	0	1
363.04	0.75	93	361.04	2	1	3	236	0	0	1
367.06	0.75	94	365.05	2	1	4	168	0	0	1
